event_id,summary_id,sidx,loss
1600095,1,-1,1185.63
1600095,1,2,4141.17
1600095,1,5,3638.88
1600095,2,-1,1185.63
1600095,2,2,4141.17
1600095,2,5,3638.88
500171,1,-1,74445.65
500171,1,1,88057.59
500171,1,2,70410.89
500171,1,3,154234.56
500171,1,4,146616.02
500171,1,5,19418.44
500171,1,6,70488.97
500171,1,7,94486.96
500171,1,8,23950.07
500171,1,9,11325.28
500171,1,10,14928.08
500171,2,-1,74445.65
500171,2,1,88057.59
500171,2,2,70410.89
500171,2,3,154234.56
500171,2,4,146616.02
500171,2,5,19418.44
500171,2,6,70488.97
500171,2,7,94486.96
500171,2,8,23950.07
500171,2,9,11325.28
500171,2,10,14928.08
500153,1,-1,148.11
500153,2,-1,148.11
165,1,-1,23587.69
165,1,1,10274.81
165,1,2,8801.24
165,1,3,11603.08
165,1,4,82219.98
165,1,5,15992.82
165,1,6,53338.54
165,2,-1,23587.69
165,2,1,10274.81
165,2,2,8801.24
165,2,3,11603.08
165,2,4,82219.98
165,2,5,15992.82
165,2,6,53338.54
1300090,1,-1,9949.58
1300090,1,2,4177.93
1300090,1,4,36660.25
1300090,1,9,40538.53
1300090,1,10,18559.94
1300090,2,-1,9949.58
1300090,2,2,4177.93
1300090,2,4,36660.25
1300090,2,9,40538.53
1300090,2,10,18559.94
200122,1,-1,76860.86
200122,1,1,28413.73
200122,1,2,147081.97
200122,1,3,136365.12
200122,1,4,51012.32
200122,1,5,17167.40
200122,1,6,95738.92
200122,1,7,25284.10
200122,1,8,153771.75
200122,1,9,62324.80
200122,1,10,18109.74
200122,2,-1,76860.86
200122,2,1,28413.73
200122,2,2,147081.97
200122,2,3,136365.12
200122,2,4,51012.32
200122,2,5,17167.40
200122,2,6,95738.92
200122,2,7,25284.10
200122,2,8,153771.75
200122,2,9,62324.80
200122,2,10,18109.74
1800056,1,-1,173917.84
1800056,1,1,152884.98
1800056,1,2,89129.25
1800056,1,3,184988.53
1800056,1,4,216459.97
1800056,1,5,247103.73
1800056,1,6,115744.85
1800056,1,7,144189.36
1800056,1,8,197957.16
1800056,1,9,304072.94
1800056,1,10,78760.45
1800056,2,-1,173917.84
1800056,2,1,152884.98
1800056,2,2,89129.25
1800056,2,3,184988.53
1800056,2,4,216459.97
1800056,2,5,247103.73
1800056,2,6,115744.85
1800056,2,7,144189.36
1800056,2,8,197957.16
1800056,2,9,304072.94
1800056,2,10,78760.45
1500076,1,-1,13048.24
1500076,1,1,6801.77
1500076,1,3,15425.24
1500076,1,4,12537.90
