event_id,item_id,sidx,loss
1,1,-2,0
1,1,-1,0
1,1,1,387500000
1,2,-2,0
1,2,-1,0
1,2,1,62500000
1,3,-2,0
1,3,-1,0
1,3,1,1250000
1,4,-2,0
1,4,-1,0
1,4,1,235000000
1,5,-2,0
1,5,-1,0
1,5,1,65000000
1,6,-2,0
1,6,-1,0
1,6,1,500000
1,7,-2,0
1,7,-1,0
1,7,1,135000000
1,8,-2,0
1,8,-1,0
1,8,1,30000000
1,9,-2,0
1,9,-1,0
1,9,1,250000
1,10,-2,0
1,10,-1,0
1,10,1,42500000
1,11,-2,0
1,11,-1,0
1,11,1,5000000
1,12,-2,0
1,12,-1,0
1,12,1,500000
1,13,-2,0
1,13,-1,0
1,13,1,35000000
1,14,-2,0
1,14,-1,0
1,14,1,15000000
1,15,-2,0
1,15,-1,0
1,15,1,3000000
1,16,-2,0
1,16,-1,0
1,16,1,10500000
1,17,-2,0
1,17,-1,0
1,17,1,4500000
1,18,-2,0
1,18,-1,0
1,18,1,278788
1,19,-2,0
1,19,-1,0
1,19,1,100000
1,20,-2,0
1,20,-1,0
1,20,1,7500000
1,21,-2,0
1,21,-1,0
1,21,1,3000000
1,22,-2,0
1,22,-1,0
1,22,1,30000000
1,23,-2,0
1,23,-1,0
1,23,1,7500000
1,24,-2,0
1,24,-1,0
1,24,1,2500000
1,25,-2,0
1,25,-1,0
1,25,1,10000000
1,26,-2,0
1,26,-1,0
1,26,1,5000000
1,27,-2,0
1,27,-1,0
1,27,1,1000000
