summary_id,return_period,loss
1,499.999969,37384.074219
1,499.999969,34599.410156
1,499.999969,31460.681641
1,499.999969,27743.458984
1,499.999969,25398.837891
1,499.999969,25159.710938
1,249.999985,24913.939453
1,249.999985,24612.634766
1,249.999985,23843.419922
1,166.666672,23832.339844
1,166.666672,23627.960938
1,124.999992,22980.554688
1,124.999992,22929.726562
1,99.999992,22394.574219
1,99.999992,22366.671875
1,99.999992,22024.810547
1,83.333328,22017.167969
1,83.333328,21651.421875
1,71.428566,21333.039062
1,71.428566,21298.771484
1,62.499996,21246.228516
1,62.499996,20948.861328
1,55.555553,20413.214844
1,55.555553,19464.830078
1,49.999996,19248.386719
1,45.454540,18341.669922
1,41.666664,18302.541016
1,41.666664,18200.351562
1,41.666664,18087.267578
1,38.461536,18029.468750
1,38.461536,17831.578125
1,38.461536,17741.431641
1,35.714283,17343.580078
1,35.714283,17291.826172
1,35.714283,16945.208984
1,33.333328,16896.324219
1,33.333328,16815.191406
1,33.333328,16722.093750
1,33.333328,16477.859375
1,33.333328,15665.952148
1,31.249998,15341.851562
1,31.249998,15198.282227
1,31.249998,14898.066406
1,31.249998,14706.186523
1,29.411762,14629.734375
1,27.777777,14541.223633
1,26.315788,14457.517578
1,24.999998,14438.342773
1,23.809523,14433.084961
1,22.727270,14354.941406
1,22.727270,13994.995117
1,22.727270,13594.078125
1,21.739128,13482.456055
1,20.833332,13395.230469
1,20.833332,13050.940430
1,20.833332,12379.753906
1,19.999998,11456.341797
1,19.230768,11353.548828
1,19.230768,11166.898438
1,18.518517,10898.204102
1,18.518517,10487.013672
1,18.518517,10481.458984
1,17.857141,10443.374023
1,17.857141,10431.054688
1,17.857141,10384.007812
1,17.241377,9826.606445
1,16.666664,9646.733398
1,16.666664,9490.677734
1,16.129030,9317.967773
1,15.624999,9297.795898
1,15.151515,8936.853516
1,15.151515,7671.634766
1,14.705883,7204.436035
1,14.705883,7025.959473
1,14.285716,7002.011230
1,13.888891,6648.375488
1,13.513516,6306.780762
1,13.157898,5986.120605
1,12.820517,5044.610352
1,12.500004,5024.537109
1,12.500004,4967.478516
1,12.500004,4433.727051
1,12.195126,2048.978027
1,12.195126,2021.176270
1,11.904766,1581.530518
1,11.627912,788.479553
1,11.363641,166.796707
2,499.999969,34452.796875
2,499.999969,32251.378906
2,249.999985,32185.212891
2,166.666672,32176.109375
2,166.666672,31553.037109
2,166.666672,31533.699219
2,166.666672,31189.486328
2,166.666672,31158.904297
2,166.666672,30203.783203
2,166.666672,29848.367188
2,124.999992,28729.447266
2,99.999992,26931.367188
2,99.999992,26931.242188
2,99.999992,26496.388672
2,99.999992,25918.210938
2,83.333328,25915.933594
2,83.333328,25656.062500
2,71.428566,24787.593750
2,62.499996,23548.722656
2,62.499996,23296.232422
2,62.499996,22738.966797
2,55.555553,21811.513672
2,55.555553,21744.978516
2,55.555553,19850.958984
2,55.555553,18361.636719
2,55.555553,18306.822266
2,55.555553,18150.832031
2,49.999996,17406.720703
2,49.999996,16624.400391
2,45.454540,16432.224609
2,45.454540,16062.586914
2,45.454540,15894.009766
2,45.454540,14954.870117
2,41.666664,14846.536133
2,41.666664,13962.690430
2,38.461536,13666.226562
2,35.714283,13319.892578
2,33.333328,12810.979492
2,31.249998,12719.771484
2,31.249998,11908.752930
2,29.411762,11149.760742
2,27.777777,11052.607422
2,26.315788,10632.707031
2,26.315788,10174.512695
2,26.315788,10160.423828
2,26.315788,9695.041016
2,26.315788,9665.252930
2,26.315788,9603.854492
2,26.315788,9346.157227
2,26.315788,8947.256836
2,26.315788,8799.059570
2,26.315788,8776.103516
2,26.315788,8549.169922
2,26.315788,8461.230469
2,26.315788,8411.948242
2,26.315788,8335.359375
2,24.999998,7968.973633
2,24.999998,7548.170898
2,23.809523,7372.998047
2,23.809523,7303.162598
2,23.809523,7111.190918
2,22.727270,6830.360840
2,22.727270,6816.063477
2,21.739128,6314.624512
2,21.739128,5955.313965
2,20.833332,5449.052246
2,19.999998,4814.553711
