"summary_id", "type", "mean", "mean_squared", "max_exposure_value"
1, 1, 5044.610352, 25448093.599092, 62000.000000
2, 1, 7691.482422, 29580186.493998, 66020.000000
3, 1, 34831.962891, 608948459.673405, 415543.937500
4, 1, 11569.996582, 67187792.935077, 138156.718750
5, 1, 18035.097656, 163246690.580940, 219837.000000
6, 1, 1711.249268, 2928374.055787, 26947.970703
7, 1, 3817.210938, 14571099.341370, 87186.000000
8, 1, 2286.071533, 5226123.054922, 36000.000000
9, 1, 0.000000, 0.000000, 180684.000000
10, 1, 0.000000, 0.000000, 171182.406250
11, 1, 0.000000, 0.000000, 137875.000000
12, 1, 24359.712891, 296705421.572252, 349701.968750
13, 1, 11701.291504, 68461853.399243, 159591.421875
14, 1, 5053.709961, 12770735.491908, 236585.000000
15, 1, 12933.503906, 83642563.742196, 476871.031250
16, 1, 15777.183105, 124459774.882523, 352756.000000
17, 1, 7771.965332, 30201727.793318, 174428.609375
18, 1, 43565.585938, 952817075.968361, 929730.000000
19, 1, 248.082458, 61544.906213, 7500.000000
20, 1, 10948.403320, 119867535.264230, 575000.000000
1, 2, 459267.125000, 8375623680.000000, 62000.000000
2, 2, 602606.562500, 11999003136.000000, 66020.000000
3, 2, 3430903.625000, 104292532224.000000, 415543.937500
4, 2, 1451305.000000, 33455861760.000000, 138156.718750
5, 2, 1512961.812500, 45347414016.000000, 219837.000000
6, 2, 187077.640625, 1441516416.000000, 26947.970703
7, 2, 417641.062500, 5046371840.000000, 87186.000000
8, 2, 277691.875000, 2732370432.000000, 36000.000000
9, 2, 0.000000, 0.000000, 180684.000000
10, 2, 0.000000, 0.000000, 171182.406250
11, 2, 0.000000, 0.000000, 137875.000000
12, 2, 2634482.250000, 98242715648.000000, 349701.968750
13, 2, 1319212.937500, 20746936320.000000, 159591.421875
14, 2, 640581.531250, 22574967808.000000, 236585.000000
15, 2, 1382812.718750, 68220145664.000000, 476871.031250
16, 2, 1576206.562500, 58005413888.000000, 352756.000000
17, 2, 679429.187500, 12331388416.000000, 174428.609375
18, 2, 3752965.500000, 227327082496.000000, 929730.000000
19, 2, 9896.091797, 25120792.000000, 7500.000000
20, 2, 1120641.000000, 168279670784.000000, 575000.000000
