profile_id,calcrule_id,deductible1,deductible2,deductible3,attachment1,limit1,share1,share2,share3
1,1,1000,0,0,0,20000,0,0,0
2,2,1000,0,0,50,20000,1,0,0
3,3,1000,0,0,0,20000,0,0,0
4,4,0.1,0,0,0,20000,0,0,0
5,5,0.05,0,0,0,0.1,0,0,0
6,6,0.1,0,0,0,0,0,0,0
7,7,1000,500,2000,0,20000,0,0,0
8,8,1000,5000,0,0,20000,0,0,0
9,9,0.1,0,0,0,20000,0,0,0
10,10,1000,0,1000,0,0,0,0,0
11,11,1000,5000,0,0,0,0,0,0
12,12,1000,0,0,0,0,0,0,0
13,13,0,1500,2000,0,0,0,0,0
14,14,0,0,0,0,20000,0,0,0
15,15,1000,0,0,0,0.1,0,0,0
16,16,0.1,0,0,0,0,0,0,0
17,17,0.1,0,0,50,20000,1,0,0
18,18,0.1,0,0,50,20000,1,0,0
19,19,0.1,5000,10000,0,0,0,0,0
20,20,1000,0,0,0,0,0,0,0
21,21,0.1,5000,10000,0,0,0,0,0
22,22,0,0,0,0,20000,1,1,1
23,23,0,0,0,0,20000,0,1,1
24,24,0,0,0,50,20000,1,1,1
25,25,0,0,0,0,0,1,1,1
26,26,0.1,5000,10000,0,20000,0,0,0
27,33,0.1,0,0,0,20000,0,0,0
28,34,1000,0,0,50,0,1,0,0
29,35,0.1,5000,10000,0,0.2,0,0,0
30,36,1000,5000,10000,0,0.2,0,0,0
