layer_id,level_id,agg_id,profile_id
1,1,1,12
1,1,2,12
1,1,3,12
1,1,4,12
1,1,5,12
1,1,6,12
1,1,7,12
1,1,8,12
1,1,9,12
1,1,10,12
1,1,11,12
1,1,12,12
1,1,13,12
1,1,14,12
1,1,15,12
1,1,16,12
1,1,17,12
1,1,18,12
1,1,19,12
1,1,20,12
1,1,21,12
1,1,22,12
1,1,23,12
1,1,24,12
1,1,25,12
1,1,26,12
1,1,27,12
1,1,28,12
1,1,29,12
1,1,30,12
1,2,1,1
1,2,2,2
1,2,3,3
1,2,4,4
1,2,5,5
1,2,6,6
1,2,7,7
1,2,8,8
1,2,9,9
1,2,10,10
1,2,11,11
1,2,12,12
1,2,13,13
1,2,14,14
1,2,15,15
1,2,16,16
1,2,17,17
1,2,18,18
1,2,19,19
1,2,20,20
1,2,21,21
1,2,22,22
1,2,23,23
1,2,24,24
1,2,25,25
1,2,26,26
1,2,27,27
1,2,28,28
1,2,29,29
1,2,30,30
