PROG_ID,ITEM_ID,LEVEL,AGG_ID
1,1,1,1
1,2,1,2
1,3,1,3
1,4,1,4
1,5,1,5
1,6,1,6
1,7,1,7
1,8,1,8
1,9,1,9
1,10,1,10
1,11,1,11
1,12,1,12
1,13,1,13
1,14,1,14
1,15,1,15
1,16,1,16
1,17,1,17
1,18,1,18
1,19,1,19
1,20,1,20
1,21,1,21
1,22,1,22
1,23,1,23
1,24,1,24
1,25,1,25
1,26,1,26
1,27,1,27
1,28,1,28
1,29,1,29
1,30,1,30
1,31,1,31
1,32,1,32
1,33,1,33
1,34,1,34
1,35,1,35
1,36,1,36
1,37,1,37
1,38,1,38
1,39,1,39
1,40,1,40
1,41,1,41
1,42,1,42
1,43,1,43
1,44,1,44
1,45,1,45
1,46,1,46
1,47,1,47
1,48,1,48
1,49,1,49
1,50,1,50
1,51,1,51
1,52,1,52
1,53,1,53
1,54,1,54
1,55,1,55
1,56,1,56
1,57,1,57
1,58,1,58
1,59,1,59
1,60,1,60
1,61,1,61
1,62,1,62
1,63,1,63
1,64,1,64
1,65,1,65
1,66,1,66
1,67,1,67
1,68,1,68
1,69,1,69
1,70,1,70
1,71,1,71
1,72,1,72
1,73,1,73
1,74,1,74
1,75,1,75
1,76,1,76
1,77,1,77
1,78,1,78
1,79,1,79
1,80,1,80
1,81,1,81
1,82,1,82
1,83,1,83
1,84,1,84
1,85,1,85
1,86,1,86
1,87,1,87
1,88,1,88
1,89,1,89
1,1,2,1
1,2,2,1
1,3,2,1
1,4,2,1
1,5,2,1
1,6,2,1
1,7,2,1
1,8,2,1
1,9,2,1
1,10,2,1
1,11,2,1
1,12,2,1
1,13,2,1
1,14,2,1
1,15,2,1
1,16,2,1
1,17,2,1
1,18,2,1
1,19,2,1
1,20,2,1
1,21,2,2
1,22,2,2
1,23,2,2
1,24,2,2
1,25,2,2
1,26,2,2
1,27,2,2
1,28,2,2
1,29,2,2
1,30,2,2
1,31,2,2
1,32,2,2
1,33,2,2
1,34,2,2
1,35,2,2
1,36,2,2
1,37,2,2
1,38,2,2
1,39,2,2
1,40,2,2
1,41,2,3
1,42,2,3
1,43,2,3
1,44,2,3
1,45,2,3
1,46,2,3
1,47,2,3
1,48,2,3
1,49,2,3
1,50,2,3
1,51,2,3
1,52,2,3
1,53,2,3
1,54,2,3
1,55,2,3
1,56,2,3
1,57,2,3
1,58,2,3
1,59,2,3
1,60,2,3
1,61,2,4
1,62,2,4
1,63,2,4
1,64,2,4
1,65,2,4
1,66,2,4
1,67,2,4
1,68,2,4
1,69,2,4
1,70,2,4
1,71,2,4
1,72,2,4
1,73,2,4
1,74,2,4
1,75,2,4
1,76,2,4
1,77,2,4
1,78,2,4
1,79,2,4
1,80,2,4
1,81,2,5
1,82,2,5
1,83,2,5
1,84,2,5
1,85,2,5
1,86,2,5
1,87,2,5
1,88,2,5
1,89,2,5
1,1,3,1
1,2,3,1
1,3,3,1
1,4,3,1
1,5,3,1
1,6,3,1
1,7,3,1
1,8,3,1
1,9,3,1
1,10,3,1
1,11,3,1
1,12,3,1
1,13,3,1
1,14,3,1
1,15,3,1
1,16,3,1
1,17,3,1
1,18,3,1
1,19,3,1
1,20,3,1
1,21,3,1
1,22,3,1
1,23,3,1
1,24,3,1
1,25,3,1
1,26,3,1
1,27,3,1
1,28,3,1
1,29,3,1
1,30,3,1
1,31,3,1
1,32,3,1
1,33,3,1
1,34,3,1
1,35,3,1
1,36,3,1
1,37,3,1
1,38,3,1
1,39,3,1
1,40,3,1
1,41,3,1
1,42,3,1
1,43,3,1
1,44,3,1
1,45,3,1
1,46,3,1
1,47,3,1
1,48,3,1
1,49,3,1
1,50,3,1
1,51,3,1
1,52,3,1
1,53,3,1
1,54,3,1
1,55,3,1
1,56,3,1
1,57,3,1
1,58,3,1
1,59,3,1
1,60,3,1
1,61,3,1
1,62,3,1
1,63,3,1
1,64,3,1
1,65,3,1
1,66,3,1
1,67,3,1
1,68,3,1
1,69,3,1
1,70,3,1
1,71,3,1
1,72,3,1
1,73,3,1
1,74,3,1
1,75,3,1
1,76,3,1
1,77,3,1
1,78,3,1
1,79,3,1
1,80,3,1
1,81,3,1
1,82,3,1
1,83,3,1
1,84,3,1
1,85,3,1
1,86,3,1
1,87,3,1
1,88,3,1
1,89,3,1
