profile_id,calcrule_id,deductible1,deductible2,deductible3,attachment1,limit1,share1,share2,share3
1, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 12, 10000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 4, 0.010000, 0.000000, 0.000000, 0.000000, 100000000.000000, 0.000000, 0.000000, 0.000000
4, 4, 0.050000, 0.000000, 0.000000, 0.000000, 28500000.000000, 0.000000, 0.000000, 0.000000
5, 4, 0.010000, 0.000000, 0.000000, 0.000000, 750000.250000, 0.000000, 0.000000, 0.000000
6, 4, 0.047619, 0.000000, 0.000000, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000
7, 16, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 14, 0.000000, 0.000000, 0.000000, 0.000000, 80000000.000000, 0.000000, 0.000000, 0.000000
9, 14, 0.000000, 0.000000, 0.000000, 0.000000, 32000000.000000, 0.000000, 0.000000, 0.000000
10, 2, 0.000000, 0.000000, 0.000000, 0.000000, 450000000.000000, 0.155556, 0.000000, 0.000000
11, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
