"layer_id","level_id","agg_id","policytc_id"
 1, 1, 1, 24
 1, 1, 2, 24
 1, 1, 3, 24
 1, 1, 4, 24
 1, 1, 5, 24
 1, 1, 6, 24
 1, 1, 7, 24
 1, 1, 8, 24
 1, 1, 9, 24
 1, 1, 10, 24
 1, 1, 11, 24
 1, 1, 12, 24
 1, 1, 13, 24
 1, 1, 14, 24
 1, 1, 15, 24
 1, 1, 16, 24
 1, 1, 17, 24
 1, 1, 18, 24
 1, 1, 19, 24
 1, 1, 20, 24
 1, 1, 21, 24
 1, 1, 22, 24
 1, 1, 23, 24
 1, 1, 24, 24
 1, 1, 25, 24
 1, 1, 26, 24
 1, 1, 27, 24
 1, 1, 28, 24
 1, 1, 29, 24
 1, 1, 30, 24
 1, 1, 31, 24
 1, 1, 32, 24
 1, 1, 33, 24
 1, 1, 34, 24
 1, 1, 35, 24
 1, 1, 36, 24
 1, 1, 37, 24
 1, 1, 38, 24
 1, 1, 39, 24
 1, 1, 40, 24
 1, 1, 41, 24
 1, 1, 42, 24
 1, 1, 43, 24
 1, 1, 44, 24
 1, 1, 45, 24
 1, 1, 46, 24
 1, 1, 47, 24
 1, 1, 48, 24
 1, 1, 49, 24
 1, 1, 50, 24
 1, 1, 51, 24
 1, 1, 52, 24
 1, 1, 53, 24
 1, 1, 54, 24
 1, 1, 55, 24
 1, 1, 56, 34
 1, 1, 57, 24
 1, 1, 58, 24
 1, 1, 59, 34
 1, 1, 60, 24
 1, 1, 61, 24
 1, 1, 62, 24
 1, 1, 63, 34
 1, 1, 64, 24
 1, 1, 65, 24
 1, 1, 66, 34
 1, 1, 67, 24
 1, 1, 68, 34
 1, 1, 69, 24
 1, 1, 70, 24
 1, 1, 71, 34
 1, 1, 72, 24
 1, 1, 73, 24
 1, 1, 74, 34
 1, 1, 75, 34
 1, 1, 76, 24
 1, 1, 77, 34
 1, 1, 78, 34
 1, 1, 79, 34
 1, 1, 80, 24
 1, 1, 81, 24
 1, 1, 82, 34
 1, 1, 83, 24
 1, 1, 84, 24
 1, 1, 85, 34
 1, 1, 86, 34
 1, 1, 87, 24
 1, 1, 88, 34
 1, 1, 89, 34
 1, 1, 90, 24
 1, 1, 91, 34
 1, 1, 92, 34
 1, 1, 93, 34
 1, 1, 94, 34
 1, 1, 95, 34
 1, 1, 96, 34
 1, 1, 97, 24
 1, 1, 98, 24
 1, 1, 99, 24
 1, 1, 100, 24
 1, 1, 101, 24
 1, 1, 102, 24
 1, 1, 103, 34
 1, 1, 104, 34
 1, 1, 105, 34
 1, 1, 106, 34
 1, 1, 107, 34
 1, 1, 108, 34
 1, 1, 109, 24
 1, 1, 110, 24
 1, 1, 111, 24
 1, 1, 112, 24
 1, 1, 113, 24
 1, 1, 114, 24
 1, 1, 115, 24
 1, 1, 116, 24
 1, 1, 117, 24
 1, 1, 118, 24
 1, 1, 119, 24
 1, 1, 120, 24
 1, 1, 121, 24
 1, 1, 122, 24
 1, 1, 123, 24
 1, 1, 124, 24
 1, 1, 125, 24
 1, 1, 126, 24
 1, 1, 127, 29
 1, 1, 128, 24
 1, 1, 129, 24
 1, 1, 130, 29
 1, 1, 131, 24
 1, 1, 132, 24
 1, 1, 133, 29
 1, 1, 134, 29
 1, 1, 135, 24
 1, 1, 136, 29
 1, 1, 137, 29
 1, 1, 138, 24
 1, 1, 139, 24
 1, 1, 140, 24
 1, 1, 141, 29
 1, 1, 142, 24
 1, 1, 143, 24
 1, 1, 144, 29
 1, 1, 145, 24
 1, 1, 146, 29
 1, 1, 147, 24
 1, 1, 148, 24
 1, 1, 149, 29
 1, 1, 150, 24
 1, 1, 151, 29
 1, 1, 152, 29
 1, 1, 153, 29
 1, 1, 154, 29
 1, 1, 155, 29
 1, 1, 156, 29
 1, 1, 157, 24
 1, 1, 158, 24
 1, 1, 159, 29
 1, 1, 160, 24
 1, 1, 161, 24
 1, 1, 162, 29
 1, 1, 163, 24
 1, 1, 164, 24
 1, 1, 165, 24
 1, 1, 166, 24
 1, 1, 167, 24
 1, 1, 168, 24
 1, 1, 169, 24
 1, 1, 170, 24
 1, 1, 171, 24
 1, 1, 172, 24
 1, 1, 173, 24
 1, 1, 174, 24
 1, 1, 175, 24
 1, 1, 176, 24
 1, 1, 177, 24
 1, 1, 178, 24
 1, 1, 179, 24
 1, 1, 180, 24
 1, 1, 181, 24
 1, 1, 182, 24
 1, 1, 183, 24
 1, 1, 184, 24
 1, 1, 185, 24
 1, 1, 186, 24
 1, 1, 187, 24
 1, 1, 188, 24
