EVENT_ID,IDX,PROG_ID,OUTPUT_ID,LAYER_ID,LOSS
300037,65,1,1,1,0
300037,65,1,1,2,0
200122,78,1,1,1,0
200122,78,1,1,2,0
300229,3,1,1,1,0
300229,3,1,1,2,0
1000050,81,1,1,1,13914.424
1000050,81,1,1,2,24940.705
900307,57,1,1,1,0
900307,57,1,1,2,0
500057,64,1,1,1,3383.6289
500057,64,1,1,2,7389.3813
700258,59,1,1,1,6714.9946
700258,59,1,1,2,12941.657
139,54,1,1,1,0
139,54,1,1,2,0
900171,29,1,1,1,0
900171,29,1,1,2,0
700301,68,1,1,1,14432.975
700301,68,1,1,2,25804.957
300154,9,1,1,1,0
300154,9,1,1,2,0
500168,77,1,1,1,0
500168,77,1,1,2,0
300321,33,1,1,1,0
300321,33,1,1,2,0
900233,1,1,1,1,13989.203
900233,1,1,1,2,25065.338
100257,84,1,1,1,78.789551
100257,84,1,1,2,1881.3159
328,0,1,1,1,0
328,0,1,1,2,0
600241,66,1,1,1,0
600241,66,1,1,2,0
800140,6,1,1,1,542.10767
800140,6,1,1,2,2653.5127
500295,25,1,1,1,0
500295,25,1,1,2,0
500219,65,1,1,1,7923.8101
500219,65,1,1,2,14956.35
26,65,1,1,1,0
26,65,1,1,2,1356.5669
200162,32,1,1,1,0
200162,32,1,1,2,0
800276,57,1,1,1,389.15482
800276,57,1,1,2,2398.5913
100221,82,1,1,1,0
100221,82,1,1,2,0
300187,40,1,1,1,0
300187,40,1,1,2,0
800069,76,1,1,1,0
800069,76,1,1,2,0
240,33,1,1,1,0
240,33,1,1,2,0
500228,1,1,1,1,0
500228,1,1,1,2,0
600044,54,1,1,1,0
600044,54,1,1,2,0
300300,23,1,1,1,0
300300,23,1,1,2,0
800012,11,1,1,1,0
800012,11,1,1,2,0
100067,57,1,1,1,0
100067,57,1,1,2,0
100292,2,1,1,1,0
100292,2,1,1,2,0
100027,3,1,1,1,0
100027,3,1,1,2,0
900082,6,1,1,1,0
900082,6,1,1,2,0
100260,69,1,1,1,0
100260,69,1,1,2,0
700163,8,1,1,1,0
700163,8,1,1,2,0
217,7,1,1,1,11785.157
217,7,1,1,2,21391.928
600246,63,1,1,1,0
600246,63,1,1,2,0
100175,52,1,1,1,0
100175,52,1,1,2,0
800140,77,1,1,1,0
800140,77,1,1,2,1060.3521
300062,91,1,1,1,4046.3323
300062,91,1,1,2,8493.8867
200324,62,1,1,1,1083.1641
200324,62,1,1,2,3555.2734
900315,43,1,1,1,0
900315,43,1,1,2,0
600299,48,1,1,1,0
600299,48,1,1,2,0
900315,85,1,1,1,0
900315,85,1,1,2,0
300185,5,1,1,1,0
300185,5,1,1,2,0
100067,15,1,1,1,0
100067,15,1,1,2,0
200196,80,1,1,1,0
200196,80,1,1,2,0
200334,47,1,1,1,0
200334,47,1,1,2,0
26,23,1,1,1,0
26,23,1,1,2,1340.377
42,71,1,1,1,7140.9556
42,71,1,1,2,13651.592
125,89,1,1,1,0
125,89,1,1,2,0
500171,62,1,1,1,133.36348
500171,62,1,1,2,1972.2725
700163,37,1,1,1,0
700163,37,1,1,2,982.90894
165,17,1,1,1,0
165,17,1,1,2,0
217,49,1,1,1,0
217,49,1,1,2,0
800012,53,1,1,1,0
800012,53,1,1,2,0
800019,98,1,1,1,0
800019,98,1,1,2,0
100065,25,1,1,1,0
100065,25,1,1,2,0
600148,37,1,1,1,0
600148,37,1,1,2,0
600299,61,1,1,1,0
600299,61,1,1,2,0
600063,29,1,1,1,0
600063,29,1,1,2,1397.5215
100260,8,1,1,1,0
100260,8,1,1,2,0
900022,4,1,1,1,0
900022,4,1,1,2,0
1000068,16,1,1,1,0
1000068,16,1,1,2,0
56,20,1,1,1,2316.9153
56,20,1,1,2,5611.5254
800167,70,1,1,1,0
800167,70,1,1,2,0
600246,92,1,1,1,0
600246,92,1,1,2,0
600063,90,1,1,1,0
600063,90,1,1,2,0
400080,92,1,1,1,1312.9518
400080,92,1,1,2,3938.2529
100175,81,1,1,1,0
100175,81,1,1,2,0
300055,62,1,1,1,0
300055,62,1,1,2,0
600024,74,1,1,1,0
600024,74,1,1,2,0
800270,32,1,1,1,2874.0591
800270,32,1,1,2,6540.0981
600279,71,1,1,1,663.20862
600279,71,1,1,2,2855.3477
139,96,1,1,1,0
139,96,1,1,2,0
500291,51,1,1,1,3075.929
500291,51,1,1,2,6876.5479
100228,5,1,1,1,0
100228,5,1,1,2,0
200334,89,1,1,1,0
200334,89,1,1,2,0
56,33,1,1,1,0
56,33,1,1,2,0
500121,10,1,1,1,0
500121,10,1,1,2,0
500057,93,1,1,1,2222.9624
500057,93,1,1,2,5454.937
26,52,1,1,1,0
26,52,1,1,2,0
26,58,1,1,1,0
26,58,1,1,2,0
200324,33,1,1,1,0
200324,33,1,1,2,0
100211,35,1,1,1,3466.7234
100211,35,1,1,2,7527.8721
700055,26,1,1,1,0
700055,26,1,1,2,0
1000068,58,1,1,1,0
1000068,58,1,1,2,1025.4551
600024,96,1,1,1,0
600024,96,1,1,2,0
500228,91,1,1,1,459.49982
500228,91,1,1,2,2515.833
198,77,1,1,1,0
198,77,1,1,2,0
100110,37,1,1,1,0
100110,37,1,1,2,0
800167,28,1,1,1,3673.2471
800167,28,1,1,2,7872.0781
200341,60,1,1,1,0
200341,60,1,1,2,0
300037,94,1,1,1,0
300037,94,1,1,2,0
300329,19,1,1,1,6249.6602
300329,19,1,1,2,12166.1
700288,83,1,1,1,478.43967
700288,83,1,1,2,2547.3994
800028,73,1,1,1,0
800028,73,1,1,2,0
500219,16,1,1,1,0
500219,16,1,1,2,1054.9238
800258,42,1,1,1,1861.9712
800258,42,1,1,2,4853.2852
700258,92,1,1,1,3512.1047
700258,92,1,1,2,7603.5078
600168,95,1,1,1,889.24103
600168,95,1,1,2,3232.0684
500228,63,1,1,1,0
500228,63,1,1,2,0
900233,71,1,1,1,23934.582
900233,71,1,1,2,41640.969
139,95,1,1,1,0
139,95,1,1,2,0
900171,70,1,1,1,0
900171,70,1,1,2,0
200190,5,1,1,1,0
200190,5,1,1,2,0
100050,53,1,1,1,358.28146
100050,53,1,1,2,2347.1357
900022,79,1,1,1,0
900022,79,1,1,2,0
500121,19,1,1,1,0
500121,19,1,1,2,0
500097,30,1,1,1,7517.5874
500097,30,1,1,2,14279.312
100211,15,1,1,1,11963.438
100211,15,1,1,2,21689.063
217,48,1,1,1,0
217,48,1,1,2,1424.8804
179,81,1,1,1,0
179,81,1,1,2,0
500097,59,1,1,1,4141.6279
500097,59,1,1,2,8652.7129
300033,91,1,1,1,2265.8152
300033,91,1,1,2,5526.3584
200306,47,1,1,1,0
200306,47,1,1,2,0
300187,32,1,1,1,0
300187,32,1,1,2,0
100136,33,1,1,1,0
100136,33,1,1,2,0
900124,34,1,1,1,0
900124,34,1,1,2,0
400263,61,1,1,1,2391.3301
400263,61,1,1,2,5735.5498
900312,23,1,1,1,0
900312,23,1,1,2,0
179,52,1,1,1,0
179,52,1,1,2,0
300329,60,1,1,1,3623.7424
300329,60,1,1,2,7789.5703
300258,96,1,1,1,0
300258,96,1,1,2,0
200158,40,1,1,1,0
200158,40,1,1,2,0
200190,75,1,1,1,0
200190,75,1,1,2,0
700303,64,1,1,1,0
700303,64,1,1,2,0
163,62,1,1,1,0
163,62,1,1,2,0
600279,0,1,1,1,801.36578
600279,0,1,1,2,3085.6096
300329,89,1,1,1,1309.1831
300329,89,1,1,2,3931.9717
400017,41,1,1,1,3233.3669
400017,41,1,1,2,7138.9448
300170,71,1,1,1,4010.5872
300170,71,1,1,2,8434.3115
600241,33,1,1,1,0
600241,33,1,1,2,0
400070,56,1,1,1,0
400070,56,1,1,2,0
600063,57,1,1,1,0
600063,57,1,1,2,0
100065,95,1,1,1,0
100065,95,1,1,2,0
900335,45,1,1,1,0
900335,45,1,1,2,0
800258,71,1,1,1,0
800258,71,1,1,2,0
400021,37,1,1,1,7730.9595
400021,37,1,1,2,14634.932
100027,86,1,1,1,0
100027,86,1,1,2,0
119,54,1,1,1,3271.9561
119,54,1,1,2,7203.2598
1000050,11,1,1,1,0
1000050,11,1,1,2,0
100221,7,1,1,1,2138.167
100221,7,1,1,2,5313.6113
500291,22,1,1,1,2049.2224
500291,22,1,1,2,5165.3706
900233,42,1,1,1,16624.5
900233,42,1,1,2,29457.5
600024,87,1,1,1,0
600024,87,1,1,2,0
600225,4,1,1,1,0
600225,4,1,1,2,1090.4141
153,51,1,1,1,0
153,51,1,1,2,0
200041,72,1,1,1,1183.5642
200041,72,1,1,2,3722.6069
600119,27,1,1,1,0
600119,27,1,1,2,0
200196,100,1,1,1,0
200196,100,1,1,2,0
800270,33,1,1,1,4790.3408
800270,33,1,1,2,9733.9014
328,62,1,1,1,0
328,62,1,1,2,0
800210,61,1,1,1,0
800210,61,1,1,2,0
125,69,1,1,1,0
125,69,1,1,2,0
600299,89,1,1,1,0
600299,89,1,1,2,0
500291,15,1,1,1,288.63165
500291,15,1,1,2,2231.0527
100067,56,1,1,1,0
100067,56,1,1,2,0
119,96,1,1,1,10839.589
119,96,1,1,2,19815.98
600246,83,1,1,1,0
600246,83,1,1,2,0
200162,74,1,1,1,0
200162,74,1,1,2,0
900233,0,1,1,1,8064.3169
900233,0,1,1,2,15190.527
400070,92,1,1,1,1578.088
400070,92,1,1,2,4380.1465
600024,4,1,1,1,1428.0839
600024,4,1,1,2,4130.1396
42,91,1,1,1,0
42,91,1,1,2,217.43872
300329,53,1,1,1,0
300329,53,1,1,2,0
300300,14,1,1,1,0
300300,14,1,1,2,0
100027,44,1,1,1,0
100027,44,1,1,2,0
153,15,1,1,1,0
153,15,1,1,2,0
316,71,1,1,1,15736.524
316,71,1,1,2,27977.539
500042,5,1,1,1,2066.9658
500042,5,1,1,2,5194.9429
200158,53,1,1,1,0
200158,53,1,1,2,0
900335,9,1,1,1,0
900335,9,1,1,2,0
900171,63,1,1,1,0
900171,63,1,1,2,0
100110,73,1,1,1,0
100110,73,1,1,2,0
500153,10,1,1,1,0
