EVENT_ID,IDX,PROG_ID,OUTPUT_ID,LAYER_ID,LOSS
1400283,27,1,1,1,1458.344
1400283,27,1,1,2,4180.5732
1200148,68,1,1,1,0
1200148,68,1,1,2,0
1500267,93,1,1,1,0
1500267,93,1,1,2,0
1400302,86,1,1,1,1610.785
1400302,86,1,1,2,4434.6416
1500064,8,1,1,1,1106.5239
1500064,8,1,1,2,3594.2065
1900157,4,1,1,1,2923.9495
1900157,4,1,1,2,6623.249
1500213,84,1,1,1,0
1500213,84,1,1,2,0
1900159,68,1,1,1,10817.031
1900159,68,1,1,2,19778.385
1700028,24,1,1,1,0
1700028,24,1,1,2,0
2000310,35,1,1,1,0
2000310,35,1,1,2,0
2000180,38,1,1,1,0
2000180,38,1,1,2,0
1400098,19,1,1,1,2969.0886
1400098,19,1,1,2,6698.481
1600092,20,1,1,1,11562.818
1600092,20,1,1,2,21021.363
1400006,47,1,1,1,1348.447
1400006,47,1,1,2,3997.4116
1900157,94,1,1,1,4619.5381
1900157,94,1,1,2,9449.2295
1500234,88,1,1,1,0
1500234,88,1,1,2,0
1800190,36,1,1,1,0
1800190,36,1,1,2,0
1400288,21,1,1,1,1716.6353
1400288,21,1,1,2,4611.0586
2100223,74,1,1,1,587.55634
2100223,74,1,1,2,2729.2605
2100258,63,1,1,1,0
2100258,63,1,1,2,0
2000311,46,1,1,1,0
2000311,46,1,1,2,0
1800158,91,1,1,1,0
1800158,91,1,1,2,0
1800056,81,1,1,1,2447.3699
1800056,81,1,1,2,5828.9497
1000285,66,1,1,1,0
1000285,66,1,1,2,867.45703
1600200,83,1,1,1,0
1600200,83,1,1,2,0
1800221,58,1,1,1,0
1800221,58,1,1,2,1157.9683
1400202,99,1,1,1,2263.8259
1400202,99,1,1,2,5523.043
2100028,75,1,1,1,6374.4033
2100028,75,1,1,2,12374.005
1500236,23,1,1,1,29.527296
1500236,23,1,1,2,1799.2122
1700157,36,1,1,1,788.54181
1700157,36,1,1,2,3064.2363
1700109,91,1,1,1,3572.6638
1700109,91,1,1,2,7704.4395
1000112,46,1,1,1,0
1000112,46,1,1,2,0
1500076,6,1,1,1,376.99484
1500076,6,1,1,2,2378.3247
1600095,31,1,1,1,0
1600095,31,1,1,2,0
2100220,83,1,1,1,0
2100220,83,1,1,2,0
1200077,25,1,1,1,0
1200077,25,1,1,2,132.3584
1500123,34,1,1,1,0
1500123,34,1,1,2,0
1500215,29,1,1,1,0
1500215,29,1,1,2,0
2100295,96,1,1,1,0
2100295,96,1,1,2,621.41211
1400019,46,1,1,1,0
1400019,46,1,1,2,1522.9131
1500190,77,1,1,1,0
1500190,77,1,1,2,0
1300118,69,1,1,1,2969.5303
1300118,69,1,1,2,6699.2168
1800221,29,1,1,1,1551.5767
1800221,29,1,1,2,4335.9609
1900196,59,1,1,1,0
1900196,59,1,1,2,0
1600102,89,1,1,1,0
1600102,89,1,1,2,0
1000112,53,1,1,1,0
1000112,53,1,1,2,0
2100126,27,1,1,1,2776.292
2100126,27,1,1,2,6377.1533
1400201,69,1,1,1,0
1400201,69,1,1,2,0
1400283,98,1,1,1,1882.0624
1400283,98,1,1,2,4886.7705
1100149,36,1,1,1,0
1100149,36,1,1,2,0
1800158,84,1,1,1,14188.926
1800158,84,1,1,2,25398.209
1700243,62,1,1,1,0
1700243,62,1,1,2,0
1400054,57,1,1,1,0
1400054,57,1,1,2,0
1400009,41,1,1,1,1531.7906
1400009,41,1,1,2,4302.9844
1000285,24,1,1,1,40.881886
1000285,24,1,1,2,1818.1365
1300323,31,1,1,1,0
1300323,31,1,1,2,0
2100126,88,1,1,1,13666.462
2100126,88,1,1,2,24527.436
1700189,1,1,1,1,1862.2736
1700189,1,1,1,2,4853.7891
1700157,56,1,1,1,4462.0884
1700157,56,1,1,2,9186.8135
1600283,62,1,1,1,0
1600283,62,1,1,2,0
1600102,76,1,1,1,4561.2959
1600102,76,1,1,2,9352.1592
1900009,93,1,1,1,0
1900009,93,1,1,2,0
1800211,69,1,1,1,0
1800211,69,1,1,2,827.71191
1400006,5,1,1,1,0
1400006,5,1,1,2,877.28308
1200298,26,1,1,1,0
1200298,26,1,1,2,0
1500167,19,1,1,1,0
1500167,19,1,1,2,0
1500236,36,1,1,1,10396.093
1500236,36,1,1,2,19076.82
1800064,51,1,1,1,0
1800064,51,1,1,2,0
1300265,100,1,1,1,4871.8975
1300265,100,1,1,2,9869.8291
2000135,96,1,1,1,1776.1064
2000135,96,1,1,2,4710.1772
1900009,100,1,1,1,0
1900009,100,1,1,2,0
1800211,76,1,1,1,1362.48
1800211,76,1,1,2,4020.7998
1600012,52,1,1,1,0
1600012,52,1,1,2,0
1800150,9,1,1,1,0
1800150,9,1,1,2,0
1900284,29,1,1,1,54.596779
1900284,29,1,1,2,1840.9946
1400202,38,1,1,1,7711.6689
1400202,38,1,1,2,14602.781
1800190,65,1,1,1,0
1800190,65,1,1,2,0
1600095,2,1,1,1,0
1600095,2,1,1,2,0
1900246,53,1,1,1,0
1900246,53,1,1,2,0
1500190,64,1,1,1,0
1500190,64,1,1,2,0
1700074,86,1,1,1,0
1700074,86,1,1,2,0
1400086,25,1,1,1,0
1400086,25,1,1,2,446.64331
1400283,56,1,1,1,20935.535
1400283,56,1,1,2,36642.559
1600203,81,1,1,1,0
