PROG_ID,ITEM_ID,LEVEL_ID,AGG_ID
1,1,1,1
1,2,1,2
1,3,1,3
1,4,1,4
1,5,1,5
1,6,1,6
1,7,1,7
1,8,1,8
1,9,1,9
1,10,1,10
1,11,1,11
1,12,1,12
1,13,1,13
1,14,1,14
1,15,1,15
1,16,1,16
1,17,1,17
1,18,1,18
1,19,1,19
1,20,1,20
1,21,1,21
1,22,1,22
1,23,1,23
1,24,1,24
1,25,1,25
1,26,1,26
1,27,1,27
1,28,1,28
1,29,1,29
1,30,1,30
1,31,1,31
1,32,1,32
1,33,1,33
1,34,1,34
1,35,1,35
1,36,1,36
1,37,1,37
1,38,1,38
1,39,1,39
1,40,1,40
1,41,1,41
1,42,1,42
1,43,1,43
1,44,1,44
1,45,1,45
1,46,1,46
1,47,1,47
1,48,1,48
1,49,1,49
1,50,1,50
1,51,1,51
1,52,1,52
1,53,1,53
1,54,1,54
1,1,2,1
1,2,2,1
1,3,2,1
1,4,2,2
1,5,2,2
1,6,2,2
1,7,2,3
1,8,2,3
1,9,2,3
1,10,2,4
1,11,2,4
1,12,2,4
1,13,2,5
1,14,2,5
1,15,2,5
1,16,2,6
1,17,2,6
1,18,2,6
1,19,2,7
1,20,2,7
1,21,2,7
1,22,2,8
1,23,2,8
1,24,2,8
1,25,2,9
1,26,2,9
1,27,2,9
1,28,2,10
1,29,2,10
1,30,2,10
1,31,2,11
1,32,2,11
1,33,2,11
1,34,2,12
1,35,2,12
1,36,2,12
1,37,2,13
1,38,2,13
1,39,2,13
1,40,2,14
1,41,2,14
1,42,2,14
1,43,2,15
1,44,2,15
1,45,2,15
1,46,2,16
1,47,2,16
1,48,2,16
1,49,2,17
1,50,2,17
1,51,2,17
1,52,2,18
1,53,2,18
1,54,2,18
1,1,3,1
1,2,3,1
1,3,3,1
1,4,3,1
1,5,3,1
1,6,3,1
1,7,3,1
1,8,3,1
1,9,3,1
1,10,3,1
1,11,3,1
1,12,3,1
1,13,3,1
1,14,3,1
1,15,3,1
1,16,3,1
1,17,3,1
1,18,3,1
1,19,3,1
1,20,3,1
1,21,3,1
1,22,3,2
1,23,3,2
1,24,3,2
1,25,3,2
1,26,3,2
1,27,3,2
1,28,3,2
1,29,3,2
1,30,3,2
1,31,3,2
1,32,3,2
1,33,3,2
1,34,3,2
1,35,3,2
1,36,3,2
1,37,3,2
1,38,3,2
1,39,3,2
1,40,3,2
1,41,3,2
1,42,3,2
1,43,3,2
1,44,3,2
1,45,3,2
1,46,3,2
1,47,3,2
1,48,3,2
1,49,3,2
1,50,3,2
1,51,3,2
1,52,3,3
1,53,3,3
1,54,3,3
1,1,4,1
1,2,4,1
1,3,4,1
1,4,4,1
1,5,4,1
1,6,4,1
1,7,4,1
1,8,4,1
1,9,4,1
1,10,4,1
1,11,4,1
1,12,4,1
1,13,4,1
1,14,4,1
1,15,4,1
1,16,4,1
1,17,4,1
1,18,4,1
1,19,4,1
1,20,4,1
1,21,4,1
1,22,4,2
1,23,4,2
1,24,4,2
1,25,4,2
1,26,4,2
1,27,4,2
1,28,4,2
1,29,4,2
1,30,4,2
1,31,4,2
1,32,4,2
1,33,4,2
1,34,4,2
1,35,4,2
1,36,4,2
1,37,4,2
1,38,4,2
1,39,4,2
1,40,4,2
1,41,4,2
1,42,4,2
1,43,4,2
1,44,4,2
1,45,4,2
1,46,4,2
1,47,4,2
1,48,4,2
1,49,4,2
1,50,4,2
1,51,4,2
1,52,4,3
1,53,4,3
1,54,4,3
1,1,5,1
1,2,5,1
1,3,5,1
1,4,5,1
1,5,5,1
1,6,5,1
1,7,5,1
1,8,5,1
1,9,5,1
1,10,5,1
1,11,5,1
1,12,5,1
1,13,5,1
1,14,5,1
1,15,5,1
1,16,5,1
1,17,5,1
1,18,5,1
1,19,5,1
1,20,5,1
1,21,5,1
1,22,5,1
1,23,5,1
1,24,5,1
1,25,5,1
1,26,5,1
1,27,5,1
1,28,5,1
1,29,5,1
1,30,5,1
1,31,5,1
1,32,5,1
1,33,5,1
1,34,5,1
1,35,5,1
1,36,5,1
1,37,5,1
1,38,5,1
1,39,5,1
1,40,5,1
1,41,5,1
1,42,5,1
1,43,5,1
1,44,5,1
1,45,5,1
1,46,5,1
1,47,5,1
1,48,5,1
1,49,5,1
1,50,5,1
1,51,5,1
1,52,5,1
1,53,5,1
1,54,5,1
1,1,6,1
1,2,6,1
1,3,6,1
1,4,6,1
1,5,6,1
1,6,6,1
1,7,6,1
1,8,6,1
1,9,6,1
1,10,6,1
1,11,6,1
1,12,6,1
1,13,6,1
1,14,6,1
1,15,6,1
1,16,6,1
1,17,6,1
1,18,6,1
1,19,6,1
1,20,6,1
1,21,6,1
1,22,6,1
1,23,6,1
1,24,6,1
1,25,6,1
1,26,6,1
1,27,6,1
1,28,6,1
1,29,6,1
1,30,6,1
1,31,6,1
1,32,6,1
1,33,6,1
1,34,6,1
1,35,6,1
1,36,6,1
1,37,6,1
1,38,6,1
1,39,6,1
1,40,6,1
1,41,6,1
1,42,6,1
1,43,6,1
1,44,6,1
1,45,6,1
1,46,6,1
1,47,6,1
1,48,6,1
1,49,6,1
1,50,6,1
1,51,6,1
1,52,6,1
1,53,6,1
1,54,6,1
