PROG_ID,FROM_AGG_ID,LEVEL_ID,TO_AGG_ID
1,1,1,1
1,2,1,2
1,3,1,3
1,4,1,4
1,5,1,5
1,6,1,6
1,7,1,7
1,8,1,8
1,9,1,9
1,10,1,10
1,11,1,11
1,12,1,12
1,13,1,13
1,14,1,14
1,15,1,15
1,16,1,16
1,17,1,17
1,18,1,18
1,19,1,19
1,20,1,20
1,21,1,21
1,22,1,22
1,23,1,23
1,24,1,24
1,25,1,25
1,26,1,26
1,27,1,27
1,28,1,28
1,29,1,29
1,30,1,30
1,31,1,31
1,32,1,32
1,33,1,33
1,34,1,34
1,35,1,35
1,36,1,36
1,37,1,37
1,38,1,38
1,39,1,39
1,40,1,40
1,41,1,41
1,42,1,42
1,43,1,43
1,44,1,44
1,45,1,45
1,46,1,46
1,47,1,47
1,48,1,48
1,49,1,49
1,50,1,50
1,51,1,51
1,52,1,52
1,53,1,53
1,54,1,54
1,1,2,1
1,2,2,1
1,3,2,1
1,4,2,2
1,5,2,2
1,6,2,2
1,7,2,3
1,8,2,3
1,9,2,3
1,10,2,4
1,11,2,4
1,12,2,4
1,13,2,5
1,14,2,5
1,15,2,5
1,16,2,6
1,17,2,6
1,18,2,6
1,19,2,7
1,20,2,7
1,21,2,7
1,22,2,8
1,23,2,8
1,24,2,8
1,25,2,9
1,26,2,9
1,27,2,9
1,28,2,10
1,29,2,10
1,30,2,10
1,31,2,11
1,32,2,11
1,33,2,11
1,34,2,12
1,35,2,12
1,36,2,12
1,37,2,13
1,38,2,13
1,39,2,13
1,40,2,14
1,41,2,14
1,42,2,14
1,43,2,15
1,44,2,15
1,45,2,15
1,46,2,16
1,47,2,16
1,48,2,16
1,49,2,17
1,50,2,17
1,51,2,17
1,52,2,18
1,53,2,18
1,54,2,18
1,1,3,1
1,2,3,1
1,3,3,1
1,4,3,1
1,5,3,1
1,6,3,1
1,7,3,1
1,8,3,2
1,9,3,2
1,10,3,2
1,11,3,2
1,12,3,2
1,13,3,2
1,14,3,2
1,15,3,2
1,16,3,2
1,17,3,2
1,18,3,3
1,1,4,1
1,2,4,2
1,3,4,3
1,1,5,1
1,2,5,1
1,3,5,1
1,1,6,1
