output_id,agg_id,layer_id
1, 1, 1
2, 2, 1
3, 3, 1
4, 4, 1
5, 5, 1
6, 6, 1
7, 7, 1
8, 8, 1
9, 9, 1
10, 10, 1
11, 11, 1
12, 12, 1
13, 13, 1
14, 14, 1
15, 15, 1
16, 16, 1
17, 17, 1
18, 18, 1
19, 19, 1
20, 20, 1
21, 21, 1
22, 22, 1
23, 23, 1
24, 24, 1
25, 25, 1
26, 26, 1
27, 27, 1
28, 28, 1
29, 29, 1
30, 30, 1
31, 31, 1
32, 32, 1
33, 33, 1
34, 34, 1
35, 35, 1
36, 36, 1
37, 37, 1
38, 38, 1
39, 39, 1
40, 40, 1
41, 41, 1
42, 42, 1
43, 43, 1
44, 44, 1
45, 45, 1
46, 46, 1
47, 47, 1
48, 48, 1
49, 49, 1
50, 50, 1
51, 51, 1
52, 52, 1
53, 53, 1
54, 54, 1
55, 55, 1
56, 56, 1
57, 57, 1
58, 58, 1
59, 59, 1
60, 60, 1
61, 61, 1
62, 62, 1
63, 63, 1
64, 64, 1
65, 65, 1
66, 66, 1
67, 67, 1
68, 68, 1
69, 69, 1
70, 70, 1
71, 71, 1
72, 72, 1
73, 73, 1
74, 74, 1
75, 75, 1
76, 76, 1
77, 77, 1
78, 78, 1
79, 79, 1
80, 80, 1
81, 81, 1
82, 82, 1
83, 83, 1
84, 84, 1
85, 85, 1
86, 86, 1
87, 87, 1
88, 88, 1
89, 89, 1
90, 1, 2
91, 2, 2
92, 3, 2
93, 4, 2
94, 5, 2
95, 6, 2
96, 7, 2
97, 8, 2
98, 9, 2
99, 10, 2
100, 11, 2
101, 12, 2
102, 13, 2
103, 14, 2
104, 15, 2
105, 16, 2
106, 17, 2
107, 18, 2
108, 19, 2
109, 20, 2
110, 21, 2
111, 22, 2
112, 23, 2
113, 24, 2
114, 25, 2
115, 26, 2
116, 27, 2
117, 28, 2
118, 29, 2
119, 30, 2
120, 31, 2
121, 32, 2
122, 33, 2
123, 34, 2
124, 35, 2
125, 36, 2
126, 37, 2
127, 38, 2
128, 39, 2
129, 40, 2
130, 41, 2
131, 42, 2
132, 43, 2
133, 44, 2
134, 45, 2
135, 46, 2
136, 47, 2
137, 48, 2
138, 49, 2
139, 50, 2
140, 51, 2
141, 52, 2
142, 53, 2
143, 54, 2
144, 55, 2
145, 56, 2
146, 57, 2
147, 58, 2
148, 59, 2
149, 60, 2
150, 61, 2
151, 62, 2
152, 63, 2
153, 64, 2
154, 65, 2
155, 66, 2
156, 67, 2
157, 68, 2
158, 69, 2
159, 70, 2
160, 71, 2
161, 72, 2
162, 73, 2
163, 74, 2
164, 75, 2
165, 76, 2
166, 77, 2
167, 78, 2
168, 79, 2
169, 80, 2
170, 81, 2
171, 82, 2
172, 83, 2
173, 84, 2
174, 85, 2
175, 86, 2
176, 87, 2
177, 88, 2
178, 89, 2
