output_id,agg_id,layer_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,2,1
9,2,2
10,2,3
11,2,4
12,2,5
13,2,6
14,2,7
15,3,1
16,3,2
17,3,3
18,3,4
19,3,5
20,3,6
21,3,7
22,4,1
23,4,2
24,4,3
25,4,4
26,4,5
27,4,6
28,4,7
29,5,1
30,5,2
31,5,3
32,5,4
33,5,5
34,5,6
35,5,7
36,6,1
37,6,2
38,6,3
39,6,4
40,6,5
41,6,6
42,6,7
43,7,1
44,7,2
45,7,3
46,7,4
47,7,5
48,7,6
49,7,7
50,8,1
51,8,2
52,8,3
53,8,4
54,8,5
55,8,6
56,8,7
57,9,1
58,9,2
59,9,3
60,9,4
61,9,5
62,9,6
63,9,7
64,10,1
65,10,2
66,10,3
67,10,4
68,10,5
69,10,6
70,10,7
71,11,1
72,11,2
73,11,3
74,11,4
75,11,5
76,11,6
77,11,7
78,12,1
79,12,2
80,12,3
81,12,4
82,12,5
83,12,6
84,12,7
85,13,1
86,13,2
87,13,3
88,13,4
89,13,5
90,13,6
91,13,7
92,14,1
93,14,2
94,14,3
95,14,4
96,14,5
97,14,6
98,14,7
99,15,1
100,15,2
101,15,3
102,15,4
103,15,5
104,15,6
105,15,7
106,16,1
107,16,2
108,16,3
109,16,4
110,16,5
111,16,6
112,16,7
113,17,1
114,17,2
115,17,3
116,17,4
117,17,5
118,17,6
119,17,7
120,18,1
121,18,2
122,18,3
123,18,4
124,18,5
125,18,6
126,18,7
127,19,1
128,19,2
129,19,3
130,19,4
131,19,5
132,19,6
133,19,7
134,20,1
135,20,2
136,20,3
137,20,4
138,20,5
139,20,6
140,20,7
141,21,1
142,21,2
143,21,3
144,21,4
145,21,5
146,21,6
147,21,7
148,22,1
149,22,2
150,22,3
151,22,4
152,22,5
153,22,6
154,22,7
155,23,1
156,23,2
157,23,3
158,23,4
159,23,5
160,23,6
161,23,7
162,24,1
163,24,2
164,24,3
165,24,4
166,24,5
167,24,6
168,24,7
169,25,1
170,25,2
171,25,3
172,25,4
173,25,5
174,25,6
175,25,7
176,26,1
177,26,2
178,26,3
179,26,4
180,26,5
181,26,6
182,26,7
183,27,1
184,27,2
185,27,3
186,27,4
187,27,5
188,27,6
189,27,7
190,28,1
191,28,2
192,28,3
193,28,4
194,28,5
195,28,6
196,28,7
197,29,1
198,29,2
199,29,3
200,29,4
201,29,5
202,29,6
203,29,7
204,30,1
205,30,2
206,30,3
207,30,4
208,30,5
209,30,6
210,30,7
211,31,1
212,31,2
213,31,3
214,31,4
215,31,5
216,31,6
217,31,7
218,32,1
219,32,2
220,32,3
221,32,4
222,32,5
223,32,6
224,32,7
225,33,1
226,33,2
227,33,3
228,33,4
229,33,5
230,33,6
231,33,7
232,34,1
233,34,2
234,34,3
235,34,4
236,34,5
237,34,6
238,34,7
239,35,1
240,35,2
241,35,3
242,35,4
243,35,5
244,35,6
245,35,7
246,36,1
247,36,2
248,36,3
249,36,4
250,36,5
251,36,6
252,36,7
253,37,1
254,37,2
255,37,3
256,37,4
257,37,5
258,37,6
259,37,7
260,38,1
261,38,2
262,38,3
263,38,4
264,38,5
265,38,6
266,38,7
267,39,1
268,39,2
269,39,3
270,39,4
271,39,5
272,39,6
273,39,7
274,40,1
275,40,2
276,40,3
277,40,4
278,40,5
279,40,6
280,40,7
281,41,1
282,41,2
283,41,3
284,41,4
285,41,5
286,41,6
287,41,7
288,42,1
289,42,2
290,42,3
291,42,4
292,42,5
293,42,6
294,42,7
295,43,1
296,43,2
297,43,3
298,43,4
299,43,5
300,43,6
301,43,7
302,44,1
303,44,2
304,44,3
305,44,4
306,44,5
307,44,6
308,44,7
309,45,1
310,45,2
311,45,3
312,45,4
313,45,5
314,45,6
315,45,7
316,46,1
317,46,2
318,46,3
319,46,4
320,46,5
321,46,6
322,46,7
323,47,1
324,47,2
325,47,3
326,47,4
327,47,5
328,47,6
329,47,7
330,48,1
331,48,2
332,48,3
333,48,4
334,48,5
335,48,6
336,48,7
337,49,1
338,49,2
339,49,3
340,49,4
341,49,5
342,49,6
343,49,7
344,50,1
345,50,2
346,50,3
347,50,4
348,50,5
349,50,6
350,50,7
351,51,1
352,51,2
353,51,3
354,51,4
355,51,5
356,51,6
357,51,7
358,52,1
359,52,2
360,52,3
361,52,4
362,52,5
363,52,6
364,52,7
365,53,1
366,53,2
367,53,3
368,53,4
369,53,5
370,53,6
371,53,7
372,54,1
373,54,2
374,54,3
375,54,4
376,54,5
377,54,6
378,54,7
