item_id," ""summary_id"""," ""summaryset_id"""
1,1,1
2,1,1
3,1,1
4,2,1
5,2,1
6,2,1
7,3,1
8,3,1
9,3,1
10,3,1
11,3,1
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
17,3,1
18,3,1
19,4,1
20,4,1
21,4,1
22,4,1
23,5,1
24,5,1
25,5,1
26,5,1
27,6,1
28,6,1
29,7,1
30,7,1
31,7,1
32,7,1
33,8,1
34,8,1
35,9,1
36,9,1
37,9,1
38,9,1
39,10,1
40,10,1
41,10,1
42,10,1
43,11,1
44,11,1
45,12,1
46,12,1
47,12,1
48,12,1
49,12,1
50,12,1
51,13,1
52,13,1
53,13,1
54,13,1
55,13,1
56,13,1
57,14,1
58,14,1
59,14,1
60,14,1
61,14,1
62,14,1
63,15,1
64,15,1
65,15,1
66,15,1
67,15,1
68,15,1
69,16,1
70,16,1
71,16,1
72,16,1
73,17,1
74,17,1
75,17,1
76,17,1
77,18,1
78,18,1
79,18,1
80,18,1
81,18,1
82,18,1
83,18,1
84,18,1
85,19,1
86,19,1
87,20,1
88,20,1
89,20,1
90,1,1
91,1,1
92,1,1
93,2,1
94,2,1
95,2,1
96,3,1
97,3,1
98,3,1
99,3,1
100,3,1
101,3,1
102,3,1
103,3,1
104,3,1
105,3,1
106,3,1
107,3,1
108,4,1
109,4,1
110,4,1
111,4,1
112,5,1
113,5,1
114,5,1
115,5,1
116,6,1
117,6,1
118,7,1
119,7,1
120,7,1
121,7,1
122,8,1
123,8,1
124,9,1
125,9,1
126,9,1
127,9,1
128,10,1
129,10,1
130,10,1
131,10,1
132,11,1
133,11,1
134,12,1
135,12,1
136,12,1
137,12,1
138,12,1
139,12,1
140,13,1
141,13,1
142,13,1
143,13,1
144,13,1
145,13,1
146,14,1
147,14,1
148,14,1
149,14,1
150,14,1
151,14,1
152,15,1
153,15,1
154,15,1
155,15,1
156,15,1
157,15,1
158,16,1
159,16,1
160,16,1
161,16,1
162,17,1
163,17,1
164,17,1
165,17,1
166,18,1
167,18,1
168,18,1
169,18,1
170,18,1
171,18,1
172,18,1
173,18,1
174,19,1
175,19,1
176,20,1
177,20,1
178,20,1
1,1,2
2,1,2
3,1,2
4,1,2
5,1,2
6,1,2
7,1,2
8,1,2
9,1,2
10,1,2
11,1,2
12,1,2
13,1,2
14,1,2
15,1,2
16,1,2
17,1,2
18,1,2
19,1,2
20,1,2
21,1,2
22,1,2
23,1,2
24,1,2
25,1,2
26,1,2
27,1,2
28,1,2
29,1,2
30,1,2
31,1,2
32,1,2
33,1,2
34,1,2
35,1,2
36,1,2
37,1,2
38,1,2
39,1,2
40,1,2
41,1,2
42,1,2
43,1,2
44,1,2
45,1,2
46,1,2
47,1,2
48,1,2
49,1,2
50,1,2
51,1,2
52,1,2
53,1,2
54,1,2
55,1,2
56,1,2
57,1,2
58,1,2
59,1,2
60,1,2
61,1,2
62,1,2
63,1,2
64,1,2
65,1,2
66,1,2
67,1,2
68,1,2
69,1,2
70,1,2
71,1,2
72,1,2
73,1,2
74,1,2
75,1,2
76,1,2
77,1,2
78,1,2
79,1,2
80,1,2
81,1,2
82,1,2
83,1,2
84,1,2
85,1,2
86,1,2
87,1,2
88,1,2
89,1,2
90,1,2
91,1,2
92,1,2
93,1,2
94,1,2
95,1,2
96,1,2
97,1,2
98,1,2
99,1,2
100,1,2
101,1,2
102,1,2
103,1,2
104,1,2
105,1,2
106,1,2
107,1,2
108,1,2
109,1,2
110,1,2
111,1,2
112,1,2
113,1,2
114,1,2
115,1,2
116,1,2
117,1,2
118,1,2
119,1,2
120,1,2
121,1,2
122,1,2
123,1,2
124,1,2
125,1,2
126,1,2
127,1,2
128,1,2
129,1,2
130,1,2
131,1,2
132,1,2
133,1,2
134,1,2
135,1,2
136,1,2
137,1,2
138,1,2
139,1,2
140,1,2
141,1,2
142,1,2
143,1,2
144,1,2
145,1,2
146,1,2
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,1,2
158,1,2
159,1,2
160,1,2
161,1,2
162,1,2
