policytc_id,calcrule_id,allocrule_id,currency_id,deductible,limits,share_prop_of_lim,deductible_prop_of_loss,limit_prop_of_loss,deductible_prop_of_tiv,limit_prop_of_tiv,deductible_prop_of_limit
1,2,0,1,1000000,1000000,0.5,0,0,0,0,0
2,2,0,1,2000000,3000000,0.9,0,0,0,0,0
3,2,0,1,5000000,5000000,1,0,0,0,0,0
4,2,0,1,10000000,10000000,1,0,0,0,0,0
5,2,0,1,20000000,10000000,1,0,0,0,0,0
6,14,2,1,0,3000000,0,0,0,0,0,0
7,14,2,1,0,9000000,0,0,0,0,0,0
8,14,2,1,0,15000000,0,0,0,0,0,0
9,14,2,1,0,20000000,0,0,0,0,0,0
10,14,2,1,0,10000000,0,0,0,0,0,0
