"profile_id","calcrule_id","deductible_1","deductible_2","deductible_3","attachment_1","limit_1","share_1","share_2","share_3"
1, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 12, 10000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 1, 1060000.000000, 0.000000, 0.000000, 0.000000, 100000000.000000, 0.000000, 0.000000, 0.000000
4, 1, 1500000.000000, 0.000000, 0.000000, 0.000000, 28500000.000000, 0.000000, 0.000000, 0.000000
5, 1, 7575.759766, 0.000000, 0.000000, 0.000000, 750000.250000, 0.000000, 0.000000, 0.000000
6, 1, 1000000.000000, 0.000000, 0.000000, 0.000000, 20000000.000000, 0.000000, 0.000000, 0.000000
7, 16, 0.010000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 14, 0.000000, 0.000000, 0.000000, 0.000000, 80000000.000000, 0.000000, 0.000000, 0.000000
9, 14, 0.000000, 0.000000, 0.000000, 0.000000, 32000000.000000, 0.000000, 0.000000, 0.000000
10, 2, 0.000000, 0.000000, 0.000000, 0.000000, 450000000.000000, 0.155556, 0.000000, 0.000000
11, 12, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
