profile_id,calcrule_id,deductible_1,deductible_2,deductible_3,attachment_1,limit_1,share_1,share_2,share_3
1,12,0,0,0,0,0,0,0,0
2,12,10000,0,0,0,0,0,0,0
3,6,0.01,0,0,0,0,0,0,0
4,6,0.05,0,0,0,0,0,0,0
5,6,0.01,0,0,0,0,0,0,0
6,6,0.047619048,0,0,0,0,0,0,0
7,16,0.01,0,0,0,0,0,0,0
8,14,0,0,0,0,80000000,0,0,0
9,14,0,0,0,0,32000000,0,0,0
10,2,0,0,0,0,450000000,0.155556,0,0
11,12,0,0,0,0,0,0,0,0
12,14,0,0,0,0,100000000,0,0,0
13,14,0,0,0,0,28500000,0,0,0
14,14,0,0,0,0,750000.25,0,0,0
15,14,0,0,0,0,20000000,0,0,0
