event_id,output_id,sidx,loss
1,1,-3,25000
1,1,-1,0
1,2,-3,604713
1,2,-1,0
1,3,-3,97850
1,3,-1,0
1,4,-3,371314
1,4,-1,0
1,5,-3,417367
1,5,-1,0
1,6,-3,10612
1,6,-1,0
1,7,-3,25000
1,7,-1,0
1,8,-3,197388
1,8,-1,0
1,9,-3,3000
1,9,-1,0
1,10,-3,606670
1,10,-1,0
1,11,-3,642609
1,11,-1,0
1,12,-3,188596
1,12,-1,0
1,13,-3,438757
1,13,-1,0
1,14,-3,12000
1,14,-1,0
1,15,-3,398763
1,15,-1,0
1,16,-3,546131
1,16,-1,0
1,17,-3,306680
1,17,-1,0
1,18,-3,54636
1,18,-1,0
1,19,-3,130600
1,19,-1,0
1,20,-3,26007
1,20,-1,0
1,21,-3,1423230
1,21,-1,0
1,22,-3,288800
1,22,-1,0
1,23,-3,281030
1,23,-1,0
1,24,-3,15150
1,24,-1,0
1,25,-3,433958
1,25,-1,0
1,26,-3,49134
1,26,-1,0
1,27,-3,310342
1,27,-1,0
1,28,-3,171078
1,28,-1,0
1,29,-3,105000
1,29,-1,0
1,30,-3,439105
1,30,-1,0
1,31,-3,694824
1,31,-1,0
1,32,-3,184901
1,32,-1,0
1,33,-3,1679106
1,33,-1,0
1,34,-3,29000
1,34,-1,0
1,35,-3,2466845
1,35,-1,0
1,36,-3,5000
1,36,-1,0
1,37,-3,38000
1,37,-1,0
1,38,-3,541500
1,38,-1,0
1,39,-3,389300
1,39,-1,0
1,40,-3,842996
1,40,-1,0
1,41,-3,25063
1,41,-1,0
1,42,-3,96000
1,42,-1,0
1,43,-3,124263
1,43,-1,0
1,44,-3,132000
1,44,-1,0
1,45,-3,21630
1,45,-1,0
1,46,-3,444546
1,46,-1,0
1,47,-3,5000
1,47,-1,0
1,48,-3,132000
1,48,-1,0
1,49,-3,655595
1,49,-1,0
1,50,-3,304819
1,50,-1,0
1,51,-3,1683648
1,51,-1,0
