policytc_id,calcrule_id,allocrule_id,currency_id,deductible,limits,share_prop_of_lim,deductible_prop_of_loss,limit_prop_of_loss,deductible_prop_of_tiv,limit_prop_of_tiv,deductible_prop_of_limit
1,12,0,1,0,0,0,0,0,0,0,0
2,12,0,1,10000,0,0,0,0,0,0,0
3,1,0,1,1060000,100000000,0,0,0,0,0,0
4,1,0,1,1500000,28500000,0,0,0,0,0,0
5,1,0,1,7575.76,750000.24,0,0,0,0,0,0
6,1,0,1,1000000,20000000,0,0,0,0,0,0
7,16,0,1,0.01,0,0,0,0,0,0,0
8,14,0,1,0,80000000,0,0,0,0,0,0
9,14,0,1,0,32000000,0,0,0,0,0,0
10,2,2,1,0,450000000,0.155555556,0,0,0,0,0
11,12,2,1,0,0,0,0,0,0,0,0
