event_id,areaperil_id,vulnerability_id,bin_index,prob_to,bin_mean
26,2,100009,1,0.932317,0.000000
26,2,100009,2,0.932896,0.005000
26,2,100009,3,0.933588,0.015000
26,2,100009,4,0.934408,0.025000
26,2,100009,5,0.935365,0.035000
26,2,100009,6,0.936472,0.045000
26,2,100009,7,0.937736,0.055000
26,2,100009,8,0.939161,0.065000
26,2,100009,9,0.940750,0.075000
26,2,100009,10,0.942499,0.085000
26,2,100009,11,0.944402,0.095000
26,2,100009,12,0.946450,0.105000
26,2,100009,13,0.948629,0.115000
26,2,100009,14,0.950923,0.125000
26,2,100009,15,0.953312,0.135000
26,2,100009,16,0.955777,0.145000
26,2,100009,17,0.958295,0.155000
26,2,100009,18,0.960845,0.165000
26,2,100009,19,0.963404,0.175000
26,2,100009,20,0.965952,0.185000
26,2,100009,21,0.968468,0.195000
26,2,100009,22,0.970935,0.205000
26,2,100009,23,0.973334,0.215000
26,2,100009,24,0.975653,0.225000
26,2,100009,25,0.977876,0.235000
26,2,100009,26,0.979994,0.245000
26,2,100009,27,0.981999,0.255000
26,2,100009,28,0.983883,0.265000
26,2,100009,29,0.985642,0.275000
26,2,100009,30,0.987273,0.285000
26,2,100009,31,0.988777,0.295000
26,2,100009,32,0.990154,0.305000
26,2,100009,33,0.991406,0.315000
26,2,100009,34,0.992539,0.325000
26,2,100009,35,0.993556,0.335000
26,2,100009,36,0.994464,0.345000
26,2,100009,37,0.995269,0.355000
26,2,100009,38,0.995979,0.365000
26,2,100009,39,0.996601,0.375000
26,2,100009,40,0.997142,0.385000
26,2,100009,41,0.997610,0.395000
26,2,100009,42,0.998013,0.405000
26,2,100009,43,0.998357,0.415000
26,2,100009,44,0.998649,0.425000
26,2,100009,45,0.998895,0.435000
26,2,100009,46,0.999102,0.445000
26,2,100009,47,0.999274,0.455000
26,2,100009,48,0.999417,0.465000
26,2,100009,49,0.999534,0.475000
26,2,100009,50,0.999630,0.485000
26,2,100009,51,0.999708,0.495000
26,2,100009,52,0.999770,0.505000
26,2,100009,53,0.999821,0.515000
26,2,100009,54,0.999861,0.525000
26,2,100009,55,0.999893,0.535000
26,2,100009,56,0.999918,0.545000
26,2,100009,57,0.999937,0.555000
26,2,100009,58,0.999953,0.565000
26,2,100009,59,0.999964,0.575000
26,2,100009,60,0.999973,0.585000
26,2,100009,61,0.999980,0.595000
26,2,100009,62,0.999985,0.605000
26,2,100009,63,0.999989,0.615000
26,2,100009,64,0.999992,0.625000
26,2,100009,65,0.999994,0.635000
26,2,100009,66,0.999996,0.645000
26,2,100009,67,0.999997,0.655000
26,2,100009,68,0.999998,0.665000
26,2,100009,69,0.999999,0.675000
26,2,100009,70,0.999999,0.685000
26,2,100009,71,0.999999,0.695000
26,2,100009,72,1.000000,0.705000
26,2,100009,73,1.000000,0.715000
26,2,100009,74,1.000000,0.725000
26,2,100009,75,1.000000,0.735000
26,2,100009,76,1.000000,0.745000
26,2,100009,77,1.000000,0.755000
26,2,100009,78,1.000000,0.765000
