summary_id,type,return_period,loss
1,1,1000.000000,738035.375000
1,1,500.000000,369017.656250
1,1,250.000000,184508.843750
1,1,200.000000,147607.078125
1,1,100.000000,73803.531250
1,1,75.000000,55352.648438
1,1,50.000000,36901.765625
1,1,30.000000,22141.058594
1,1,10.000000,7380.353516
1,1,7.000000,5932.628418
1,1,5.000000,4967.478516
1,1,3.000000,0.000000
2,1,1000.000000,834438.062500
2,1,500.000000,417219.031250
2,1,250.000000,208609.515625
2,1,200.000000,166887.609375
2,1,100.000000,83443.804688
2,1,75.000000,62582.859375
2,1,50.000000,41721.906250
2,1,30.000000,25033.142578
2,1,10.000000,8344.380859
2,1,7.000000,6242.484375
2,1,5.000000,4841.219727
2,1,3.000000,0.000000
3,1,1000.000000,3473424.750000
3,1,500.000000,1736712.250000
3,1,250.000000,868356.125000
3,1,200.000000,694684.937500
3,1,100.000000,347342.468750
3,1,75.000000,260506.843750
3,1,50.000000,173671.234375
3,1,30.000000,104202.734375
3,1,10.000000,34734.246094
3,1,7.000000,31422.892578
3,1,5.000000,29215.324219
3,1,3.000000,0.000000
4,1,1000.000000,1153754.375000
4,1,500.000000,576877.250000
4,1,250.000000,288438.593750
4,1,200.000000,230750.890625
4,1,100.000000,115375.453125
4,1,75.000000,86531.593750
4,1,50.000000,57687.726562
4,1,30.000000,34612.632812
4,1,10.000000,11537.544922
4,1,7.000000,10437.639648
4,1,5.000000,9704.369141
4,1,3.000000,0.000000
5,1,1000.000000,1798477.000000
5,1,500.000000,899238.437500
5,1,250.000000,449619.218750
5,1,200.000000,359695.406250
5,1,100.000000,179847.687500
5,1,75.000000,134885.765625
5,1,50.000000,89923.843750
5,1,30.000000,53954.308594
5,1,10.000000,17984.769531
5,1,7.000000,16270.699219
5,1,5.000000,15127.986328
5,1,3.000000,0.000000
6,1,1000.000000,259892.593750
6,1,500.000000,129946.304688
6,1,250.000000,64973.152344
6,1,200.000000,51978.519531
6,1,100.000000,25989.259766
6,1,75.000000,19491.945312
6,1,50.000000,12994.629883
6,1,30.000000,7796.778320
6,1,10.000000,2598.926025
6,1,7.000000,2053.078857
6,1,5.000000,1689.180664
6,1,3.000000,0.000000
7,1,1000.000000,575728.312500
7,1,500.000000,287864.125000
7,1,250.000000,143932.062500
7,1,200.000000,115145.656250
7,1,100.000000,57572.824219
7,1,75.000000,43179.617188
7,1,50.000000,28786.414062
7,1,30.000000,17271.847656
7,1,10.000000,5757.282715
7,1,7.000000,4561.773926
7,1,5.000000,3764.767822
7,1,3.000000,0.000000
8,1,1000.000000,347192.531250
8,1,500.000000,173596.265625
8,1,250.000000,86798.125000
8,1,200.000000,69438.500000
8,1,100.000000,34719.253906
8,1,75.000000,26039.439453
8,1,50.000000,17359.626953
8,1,30.000000,10415.775391
8,1,10.000000,3471.925293
8,1,7.000000,2742.723877
8,1,5.000000,2256.589600
8,1,3.000000,0.000000
12,1,1000.000000,2653739.500000
12,1,500.000000,1326869.625000
12,1,250.000000,663434.812500
12,1,200.000000,530747.875000
12,1,100.000000,265373.937500
12,1,75.000000,199030.453125
12,1,50.000000,132686.968750
12,1,30.000000,79612.187500
12,1,10.000000,26537.394531
12,1,7.000000,19974.960938
12,1,5.000000,15600.006836
12,1,3.000000,0.000000
13,1,1000.000000,1274383.000000
13,1,500.000000,637191.437500
13,1,250.000000,318595.750000
13,1,200.000000,254876.578125
13,1,100.000000,127438.289062
13,1,75.000000,95578.718750
13,1,50.000000,63719.144531
13,1,30.000000,38231.488281
13,1,10.000000,12743.829102
13,1,7.000000,9595.666992
13,1,5.000000,7496.892578
13,1,3.000000,0.000000
14,1,1000.000000,657666.125000
14,1,500.000000,328833.062500
14,1,250.000000,164416.515625
14,1,200.000000,131533.218750
14,1,100.000000,65766.609375
14,1,75.000000,49324.957031
14,1,50.000000,32883.304688
14,1,30.000000,19729.984375
14,1,10.000000,6576.661133
14,1,7.000000,4361.775391
14,1,5.000000,2885.185303
14,1,3.000000,0.000000
15,1,1000.000000,1676567.500000
15,1,500.000000,838283.812500
15,1,250.000000,419141.906250
15,1,200.000000,335313.531250
15,1,100.000000,167656.765625
15,1,75.000000,125742.562500
15,1,50.000000,83828.375000
15,1,30.000000,50297.027344
15,1,10.000000,16765.675781
15,1,7.000000,11191.217773
15,1,5.000000,7474.912109
15,1,3.000000,0.000000
16,1,1000.000000,1835499.750000
16,1,500.000000,917749.875000
16,1,250.000000,458874.937500
16,1,200.000000,367099.968750
16,1,100.000000,183549.984375
16,1,75.000000,137662.484375
16,1,50.000000,91774.992188
16,1,30.000000,55064.992188
16,1,10.000000,18354.998047
16,1,7.000000,12822.074219
16,1,5.000000,9133.458984
16,1,3.000000,0.000000
17,1,1000.000000,904208.750000
17,1,500.000000,452104.406250
17,1,250.000000,226052.187500
17,1,200.000000,180841.765625
17,1,100.000000,90420.882812
17,1,75.000000,67815.656250
17,1,50.000000,45210.437500
17,1,30.000000,27126.263672
17,1,10.000000,9042.087891
17,1,7.000000,6316.192871
17,1,5.000000,4498.929688
17,1,3.000000,0.000000
18,1,1000.000000,5167868.000000
18,1,500.000000,2583934.250000
18,1,250.000000,1291967.000000
18,1,200.000000,1033573.687500
18,1,100.000000,516786.843750
18,1,75.000000,387590.125000
18,1,50.000000,258393.421875
18,1,30.000000,155036.046875
18,1,10.000000,51678.683594
18,1,7.000000,32910.097656
18,1,5.000000,20397.705078
18,1,3.000000,0.000000
19,1,1000.000000,40425.152344
19,1,500.000000,20212.578125
19,1,250.000000,10106.289062
19,1,200.000000,8085.031250
19,1,100.000000,4042.515625
19,1,75.000000,3031.886719
19,1,50.000000,2021.257812
19,1,30.000000,1212.754639
19,1,10.000000,404.251556
19,1,7.000000,309.936005
19,1,5.000000,247.058990
