summary_id,type,mean,standard_deviation,exposure_value
1,1,1234.783197,2664.552557,62000.000000
2,1,1318.560090,2899.810258,66020.000000
3,1,6394.957224,13544.364673,415543.937500
4,1,2124.191511,4498.985650,138156.718750
5,1,3311.275586,7013.181548,219837.000000
6,1,428.810669,929.095243,26947.970703
7,1,952.205068,2061.629259,87186.000000
8,1,572.851498,1241.185532,36000.000000
12,1,4213.740175,9249.849642,349701.968750
13,1,2024.072210,4442.720644,159591.421875
14,1,946.184648,2176.238147,236585.000000
15,1,2424.058898,5559.792213,476871.031250
16,1,2748.845744,6189.278394,352756.000000
17,1,1354.101741,3048.930601,174428.609375
18,1,7207.638975,16889.352861,929730.000000
19,1,65.131056,142.219285,7500.000000
20,1,2823.323382,6144.245101,575000.000000
1,2,1414.783939,5231.752857,62000.000000
2,2,1300.920852,5355.264352,66020.000000
3,2,6395.130475,16109.050793,415543.937500
4,2,2470.584722,7780.464365,138156.718750
5,2,3329.445299,11750.695392,219837.000000
6,2,536.685705,2194.240492,26947.970703
7,2,1055.837560,3479.974486,87186.000000
8,2,642.662740,2528.911192,36000.000000
12,2,4602.474494,13758.603619,349701.968750
13,2,2139.050230,6217.047440,159591.421875
14,2,986.799634,6156.815186,236585.000000
15,2,2374.443014,12308.003417,476871.031250
16,2,2769.614290,10855.696376,352756.000000
17,2,1250.931437,5033.643053,174428.609375
18,2,7339.630878,23782.621955,929730.000000
19,2,57.513065,392.611758,7500.000000
20,2,2446.704872,20292.177635,575000.000000
