summary_id,type,loss,Return period
1,1,5044.61,5
2,1,3826.56,5
3,1,18492,5
4,1,6142.34,5
5,1,9571.77,5
6,1,1711.25,5
7,1,3817.21,5
8,1,2286.07,5
12,1,12118.15,5
13,1,5821.13,5
14,1,2507.58,5
15,1,6417.75,5
16,1,7885.31,5
17,1,3884.37,5
18,1,20397.71,5
19,1,248.08,5
20,1,10948.4,5
1,2,37384.07,500
1,2,34599.41,250
1,2,27743.46,166.6666667
1,2,24913.94,125
1,2,24612.63,100
1,2,23627.96,83.33333333
1,2,22980.55,71.42857143
1,2,22366.67,62.5
1,2,22017.17,55.55555556
1,2,21333.04,50
1,2,20948.86,45.45454545
1,2,19464.83,41.66666667
1,2,18302.54,38.46153846
1,2,18087.27,35.71428571
1,2,18029.47,33.33333333
1,2,17343.58,31.25
1,2,16896.32,29.41176471
1,2,16477.86,27.77777778
1,2,14706.19,26.31578947
1,2,14438.34,25
1,2,14433.08,23.80952381
1,2,14354.94,22.72727273
1,2,13482.46,21.73913043
1,2,13395.23,20.83333333
1,2,11456.34,20
1,2,11353.55,19.23076923
1,2,10898.2,18.51851852
1,2,10443.37,17.85714286
1,2,9826.61,17.24137931
1,2,9646.73,16.66666667
1,2,9317.97,16.12903226
1,2,9297.8,15.625
1,2,8936.85,15.15151515
1,2,7671.63,14.70588235
1,2,7025.96,14.28571429
1,2,6648.38,13.88888889
1,2,6306.78,13.51351351
1,2,5986.12,13.15789474
1,2,5024.54,12.82051282
1,2,2048.98,12.5
1,2,1581.53,12.19512195
1,2,788.48,11.9047619
1,2,166.8,11.62790698
2,2,32251.38,500
2,2,32176.11,250
2,2,31553.04,166.6666667
2,2,26931.24,125
2,2,26496.39,100
2,2,25656.06,83.33333333
2,2,23548.72,71.42857143
2,2,23296.23,62.5
2,2,19850.96,55.55555556
2,2,18306.82,50
2,2,16624.4,45.45454545
2,2,16062.59,41.66666667
2,2,13962.69,38.46153846
2,2,13319.89,35.71428571
2,2,12810.98,33.33333333
2,2,12719.77,31.25
2,2,11908.75,29.41176471
2,2,11052.61,27.77777778
2,2,10632.71,26.31578947
2,2,7968.97,25
2,2,7373,23.80952381
2,2,6830.36,22.72727273
2,2,6314.62,21.73913043
2,2,5449.05,20.83333333
2,2,4814.55,20
2,2,4301.57,19.23076923
2,2,3567.75,18.51851852
2,2,3179.69,17.85714286
2,2,2132.83,17.24137931
2,2,194.06,16.66666667
2,2,23.94,16.12903226
2,2,14.77,15.625
3,2,65505.37,500
3,2,62001.78,250
3,2,50141.48,166.6666667
3,2,49561.41,125
3,2,45562.53,100
3,2,42095.57,83.33333333
3,2,40945.31,71.42857143
3,2,39777.48,62.5
3,2,39265.32,55.55555556
3,2,38747.62,50
3,2,38428.87,45.45454545
3,2,37078.12,41.66666667
3,2,36646.33,38.46153846
3,2,35995.55,35.71428571
3,2,34616.94,33.33333333
3,2,33507.82,31.25
