event_id,areaperil_id,intensity_bin_id,probability
26,1,1,9.6700000763e-01
26,1,2,9.8172044381e-03
26,1,3,1.1827956885e-02
26,1,4,1.1354838498e-02
26,1,5,0.0000000000e+00
26,1,6,0.0000000000e+00
26,1,7,0.0000000000e+00
26,1,8,0.0000000000e+00
26,1,9,0.0000000000e+00
26,1,10,0.0000000000e+00
26,1,11,0.0000000000e+00
26,1,12,0.0000000000e+00
26,1,13,0.0000000000e+00
26,1,14,0.0000000000e+00
26,1,15,0.0000000000e+00
26,1,16,0.0000000000e+00
26,1,17,0.0000000000e+00
26,1,18,0.0000000000e+00
26,1,19,0.0000000000e+00
26,1,20,0.0000000000e+00
26,1,21,0.0000000000e+00
26,1,22,0.0000000000e+00
26,1,23,0.0000000000e+00
26,1,24,0.0000000000e+00
26,1,25,0.0000000000e+00
26,1,26,0.0000000000e+00
26,1,27,0.0000000000e+00
26,1,28,0.0000000000e+00
26,1,29,0.0000000000e+00
26,1,30,0.0000000000e+00
26,1,31,0.0000000000e+00
26,1,32,0.0000000000e+00
26,1,33,0.0000000000e+00
26,1,34,0.0000000000e+00
26,1,35,0.0000000000e+00
26,1,36,0.0000000000e+00
26,1,37,0.0000000000e+00
26,1,38,0.0000000000e+00
26,1,39,0.0000000000e+00
26,1,40,0.0000000000e+00
26,1,41,0.0000000000e+00
26,1,42,0.0000000000e+00
26,1,43,0.0000000000e+00
26,1,44,0.0000000000e+00
26,1,45,0.0000000000e+00
26,1,46,0.0000000000e+00
26,1,47,0.0000000000e+00
26,1,48,0.0000000000e+00
26,1,49,0.0000000000e+00
26,1,50,0.0000000000e+00
26,1,51,0.0000000000e+00
26,1,52,0.0000000000e+00
26,1,53,0.0000000000e+00
26,1,54,0.0000000000e+00
26,1,55,0.0000000000e+00
26,1,56,0.0000000000e+00
26,1,57,0.0000000000e+00
26,1,58,0.0000000000e+00
26,1,59,0.0000000000e+00
26,1,60,0.0000000000e+00
26,1,61,0.0000000000e+00
26,1,62,0.0000000000e+00
26,1,63,0.0000000000e+00
26,1,64,0.0000000000e+00
26,1,65,0.0000000000e+00
26,1,66,0.0000000000e+00
26,1,67,0.0000000000e+00
26,1,68,0.0000000000e+00
26,1,69,0.0000000000e+00
26,1,70,0.0000000000e+00
26,1,71,0.0000000000e+00
26,1,72,0.0000000000e+00
26,1,73,0.0000000000e+00
26,1,74,0.0000000000e+00
26,1,75,0.0000000000e+00
26,1,76,0.0000000000e+00
26,1,77,0.0000000000e+00
26,1,78,0.0000000000e+00
26,1,79,0.0000000000e+00
26,1,80,0.0000000000e+00
26,1,81,0.0000000000e+00
26,1,82,0.0000000000e+00
26,1,83,0.0000000000e+00
26,1,84,0.0000000000e+00
26,1,85,0.0000000000e+00
26,1,86,0.0000000000e+00
26,1,87,0.0000000000e+00
26,1,88,0.0000000000e+00
26,1,89,0.0000000000e+00
26,1,90,0.0000000000e+00
26,1,91,0.0000000000e+00
26,1,92,0.0000000000e+00
26,1,93,0.0000000000e+00
26,1,94,0.0000000000e+00
26,1,95,0.0000000000e+00
26,1,96,0.0000000000e+00
26,1,97,0.0000000000e+00
26,1,98,0.0000000000e+00
26,1,99,0.0000000000e+00
26,1,100,0.0000000000e+00
26,1,101,0.0000000000e+00
26,1,102,0.0000000000e+00
26,1,103,0.0000000000e+00
26,1,104,0.0000000000e+00
26,1,105,0.0000000000e+00
26,1,106,0.0000000000e+00
26,1,107,0.0000000000e+00
26,1,108,0.0000000000e+00
26,1,109,0.0000000000e+00
26,1,110,0.0000000000e+00
26,1,111,0.0000000000e+00
26,1,112,0.0000000000e+00
26,1,113,0.0000000000e+00
26,1,114,0.0000000000e+00
26,1,115,0.0000000000e+00
26,1,116,0.0000000000e+00
26,1,117,0.0000000000e+00
26,1,118,0.0000000000e+00
26,1,119,0.0000000000e+00
26,1,120,0.0000000000e+00
26,1,121,0.0000000000e+00
26,2,1,9.3000000715e-01
26,2,2,0.0000000000e+00
26,2,3,4.9637388438e-03
26,2,4,5.6406124495e-03
