summary_id,  period_no, event_id, mean, standard_deviation, exposure_value, occ_year, occ_month, occ_day
1, 9149 ,26, 42108.73, 32103.24, 3384125.00, 9149, 1, 1
1, 8860 ,42, 154466.59, 77130.97, 4313855.00, 8860, 1, 1
1, 8469 ,56, 51374.05, 41469.77, 1568171.75, 8469, 1, 1
1, 7588 ,93, 57638.68, 40886.63, 2987643.00, 7588, 1, 1
1, 6978 ,119, 94619.23, 62583.98, 3873866.50, 6978, 1, 1
1, 6882 ,125, 10641.71, 28174.33, 1356037.62, 6882, 1, 1
1, 6537 ,138, 58695.71, 37404.26, 2745684.50, 6537, 1, 1
1, 6499 ,139, 6554.99, 29859.93, 1356037.62, 6499, 1, 1
1, 6014 ,153, 6758.56, 25635.72, 794634.00, 6014, 1, 1
1, 5683 ,163, 165.85, 1658.50, 929730.00, 5683, 1, 1
1, 5619 ,165, 23521.01, 26540.72, 1506171.62, 5619, 1, 1
1, 5189 ,179, 286.83, 1331.72, 575313.50, 5189, 1, 1
1, 4518 ,198, 1023.00, 2570.03, 1815954.38, 4518, 1, 1
1, 3821 ,217, 55026.52, 45844.70, 3328184.50, 3821, 1, 1
1, 2915 ,240, 84901.54, 54715.53, 3873866.50, 2915, 1, 1
1, 2303 ,262, 67787.59, 52688.59, 2745684.50, 2303, 1, 1
1, 2048 ,270, 8531.20, 12686.82, 1815954.38, 2048, 1, 1
1, 1702 ,283, 52171.44, 30100.19, 2028088.38, 1702, 1, 1
1, 1664 ,284, 9428.31, 12989.02, 701875.31, 1664, 1, 1
1, 650 ,316, 140724.80, 65806.48, 3873866.50, 650, 1, 1
1, 207 ,328, 27615.86, 22591.73, 4101721.50, 207, 1, 1
1, 8999 ,100027, 1972.87, 6812.21, 929730.00, 8999, 1, 1
1, 8093 ,100050, 41247.27, 34172.26, 1815954.38, 8093, 1, 1
1, 7644 ,100065, 51033.50, 29912.69, 1568171.75, 7644, 1, 1
1, 7603 ,100067, 106.64, 750.28, 489741.41, 7603, 1, 1
1, 6265 ,100110, 1059.29, 3687.49, 575313.50, 6265, 1, 1
1, 5586 ,100136, 23275.86, 22035.56, 489741.41, 5586, 1, 1
1, 4296 ,100175, 1850.55, 6570.74, 929730.00, 4296, 1, 1
1, 3019 ,100211, 185768.86, 73759.33, 4803596.50, 3019, 1, 1
1, 2837 ,100221, 68692.79, 47715.86, 2745684.50, 2837, 1, 1
