summary_id,  period_no, event_id, mean, standard_deviation, exposure_value, occ_year, occ_month, occ_day
1, 9149 ,26, 1191.74, 2630.61, 483146.41, 9149, 1, 1
2, 9149 ,26, 2951.17, 4795.18, 806994.00, 9149, 1, 1
1, 8860 ,42, 9502.91, 8763.56, 622545.88, 8860, 1, 1
2, 8860 ,42, 17518.19, 14686.46, 1039326.44, 8860, 1, 1
1, 8469 ,56, 2882.90, 4139.67, 221508.27, 8469, 1, 1
2, 8469 ,56, 6070.70, 7270.10, 370930.44, 8469, 1, 1
1, 7588 ,93, 3018.46, 4370.70, 423793.97, 7588, 1, 1
2, 7588 ,93, 6390.63, 7584.25, 708073.25, 7588, 1, 1
1, 6978 ,119, 6439.62, 6852.16, 556532.62, 6978, 1, 1
2, 6978 ,119, 12371.29, 11532.11, 929304.38, 6978, 1, 1
1, 6882 ,125, 415.90, 2605.44, 189740.66, 6882, 1, 1
2, 6882 ,125, 971.30, 4612.46, 317984.41, 6882, 1, 1
1, 6537 ,138, 1223.50, 2346.82, 390537.66, 6537, 1, 1
2, 6537 ,138, 2836.39, 4465.22, 652646.06, 6537, 1, 1
1, 6499 ,139, 537.43, 2699.84, 189740.66, 6499, 1, 1
2, 6499 ,139, 965.72, 4838.02, 317984.41, 6499, 1, 1
1, 6014 ,153, 286.52, 2865.22, 105627.60, 6014, 1, 1
2, 6014 ,153, 531.96, 4950.39, 177796.00, 6014, 1, 1
1, 5619 ,165, 778.60, 1999.42, 212215.75, 5619, 1, 1
2, 5619 ,165, 1967.71, 3817.16, 355442.91, 5619, 1, 1
1, 3821 ,217, 1574.87, 3146.81, 477897.62, 3821, 1, 1
2, 3821 ,217, 3255.71, 5839.82, 798246.00, 3821, 1, 1
1, 2915 ,240, 4857.49, 6649.95, 556532.62, 2915, 1, 1
2, 2915 ,240, 9628.44, 11254.95, 929304.38, 2915, 1, 1
1, 2303 ,262, 2160.38, 3955.09, 390537.66, 2303, 1, 1
2, 2303 ,262, 4448.52, 7118.61, 652646.06, 2303, 1, 1
1, 2048 ,270, 29.52, 271.18, 258638.14, 2048, 1, 1
2, 2048 ,270, 113.66, 682.08, 432813.56, 2048, 1, 1
1, 1702 ,283, 1032.12, 1654.13, 287405.75, 1702, 1, 1
2, 1702 ,283, 2649.32, 3340.10, 480759.56, 1702, 1, 1
1, 1664 ,284, 25.33, 134.43, 94653.81, 1664, 1, 1
2, 1664 ,284, 129.08, 568.07, 159506.34, 1664, 1, 1
1, 650 ,316, 9120.33, 7432.22, 556532.62, 650, 1, 1
2, 650 ,316, 16885.66, 12471.19, 929304.38, 650, 1, 1
1, 207 ,328, 248.92, 817.54, 590778.25, 207, 1, 1
2, 207 ,328, 894.64, 1864.53, 986380.38, 207, 1, 1
