"event_id", "summary_id", "sidx", "loss"
26, 1, -1, 42219.105469
26, 1, 1, 36271.558594
26, 1, 2, 7334.833496
26, 1, 3, 71111.242188
26, 1, 4, 23885.923828
26, 1, 5, 10213.505859
26, 1, 6, 21704.101562
26, 1, 7, 58776.000000
26, 1, 8, 59176.003906
26, 1, 9, 53397.496094
26, 1, 10, 35721.000000
26, 1, 11, 14968.389648
26, 1, 12, 20692.929688
26, 1, 13, 36646.410156
26, 1, 14, 10680.517578
26, 1, 15, 40772.039062
26, 1, 16, 61248.050781
26, 1, 17, 15339.089844
26, 1, 18, 63628.800781
26, 1, 19, 32617.896484
26, 1, 20, 65644.039062
26, 1, 21, 37433.816406
26, 1, 22, 55822.812500
26, 1, 23, 17288.136719
26, 1, 24, 39698.347656
26, 1, 25, 74509.328125
26, 1, 26, 36367.085938
26, 1, 27, 17088.400391
26, 1, 28, 46446.882812
26, 1, 29, 31736.269531
26, 1, 30, 54336.539062
26, 1, 31, 34469.253906
26, 1, 32, 59879.164062
26, 1, 33, 57037.867188
26, 1, 34, 7824.440430
26, 1, 35, 63966.570312
26, 1, 36, 48731.964844
26, 1, 37, 38978.703125
26, 1, 38, 53243.441406
26, 1, 39, 42270.203125
26, 1, 40, 49267.542969
26, 1, 41, 25983.996094
26, 1, 42, 131080.937500
26, 1, 43, 27087.382812
26, 1, 44, 30163.109375
26, 1, 47, 19381.482422
26, 1, 48, 73708.570312
26, 1, 49, 33842.726562
26, 1, 50, 45744.085938
26, 1, 51, 197623.437500
26, 1, 52, 46605.929688
26, 1, 53, 8745.697266
26, 1, 54, 36031.167969
26, 1, 55, 33736.421875
26, 1, 56, 8757.215820
26, 1, 57, 72134.500000
26, 1, 58, 3713.668457
26, 1, 59, 66774.960938
26, 1, 60, 95717.289062
26, 1, 62, 29305.328125
26, 1, 63, 26313.062500
26, 1, 64, 29547.316406
26, 1, 65, 39493.464844
26, 1, 66, 53656.828125
26, 1, 67, 116041.523438
26, 1, 68, 178472.171875
26, 1, 69, 52900.687500
26, 1, 70, 66092.484375
26, 1, 71, 19853.431641
26, 1, 72, 46494.746094
26, 1, 73, 72623.218750
26, 1, 74, 30085.158203
26, 1, 75, 61310.554688
26, 1, 76, 35562.703125
26, 1, 77, 46824.582031
26, 1, 78, 25300.369141
26, 1, 79, 14760.186523
26, 1, 81, 16288.392578
26, 1, 82, 69136.531250
26, 1, 83, 19052.367188
26, 1, 84, 13379.754883
26, 1, 86, 55176.480469
26, 1, 87, 47964.117188
26, 1, 88, 46020.078125
26, 1, 89, 57258.371094
26, 1, 90, 21718.718750
26, 1, 91, 39302.675781
26, 1, 92, 65879.125000
26, 1, 93, 16556.476562
26, 1, 94, 13140.196289
26, 1, 95, 20850.410156
26, 1, 96, 27924.062500
26, 1, 97, 21211.609375
26, 1, 98, 53466.144531
26, 1, 99, 29274.833984
26, 1, 100, 69575.414062
42, 1, -1, 141880.781250
42, 1, 1, 207718.187500
42, 1, 2, 89414.000000
42, 1, 3, 105236.343750
42, 1, 4, 230712.375000
42, 1, 5, 85593.101562
42, 1, 6, 83828.046875
42, 1, 7, 74241.703125
42, 1, 8, 254305.281250
42, 1, 9, 239447.203125
42, 1, 10, 153772.750000
42, 1, 11, 155002.343750
42, 1, 12, 259545.328125
42, 1, 13, 157285.046875
42, 1, 14, 40022.335938
42, 1, 15, 100283.046875
42, 1, 16, 89054.195312
42, 1, 17, 95781.656250
42, 1, 18, 123530.476562
42, 1, 19, 253408.484375
42, 1, 20, 152505.890625
42, 1, 21, 186355.250000
42, 1, 22, 71894.078125
42, 1, 23, 187088.796875
42, 1, 24, 135181.375000
42, 1, 25, 152012.265625
42, 1, 26, 122215.781250
42, 1, 27, 134123.234375
42, 1, 28, 246968.296875
42, 1, 29, 210402.796875
42, 1, 30, 370300.937500
42, 1, 31, 266805.875000
42, 1, 32, 145896.187500
42, 1, 33, 67516.093750
42, 1, 34, 110417.625000
42, 1, 35, 152732.109375
42, 1, 36, 80939.281250
42, 1, 37, 330278.500000
42, 1, 38, 149853.593750
42, 1, 39, 128272.718750
42, 1, 40, 228224.359375
42, 1, 41, 65217.875000
42, 1, 42, 98414.476562
42, 1, 43, 36092.613281
42, 1, 44, 273878.906250
42, 1, 45, 122023.164062
42, 1, 46, 98544.703125
42, 1, 47, 162618.890625
42, 1, 48, 256546.687500
42, 1, 49, 127206.695312
42, 1, 50, 149765.703125
42, 1, 51, 143071.203125
42, 1, 52, 185825.875000
42, 1, 53, 100948.609375
42, 1, 54, 176883.046875
42, 1, 55, 158069.218750
42, 1, 56, 281874.687500
42, 1, 57, 95932.085938
42, 1, 58, 72290.773438
42, 1, 59, 93986.773438
42, 1, 60, 96937.648438
42, 1, 61, 142270.468750
42, 1, 62, 93982.328125
42, 1, 63, 248559.046875
42, 1, 64, 121363.539062
42, 1, 65, 351503.250000
42, 1, 66, 207852.187500
42, 1, 67, 188263.609375
42, 1, 68, 157572.578125
42, 1, 69, 135432.562500
42, 1, 70, 143505.125000
42, 1, 71, 232748.921875
42, 1, 72, 53666.562500
42, 1, 73, 78316.937500
42, 1, 74, 193515.234375
42, 1, 75, 109760.710938
42, 1, 76, 103943.859375
42, 1, 77, 75538.257812
42, 1, 78, 78521.601562
42, 1, 79, 76090.039062
42, 1, 80, 126347.078125
42, 1, 81, 167522.671875
42, 1, 82, 159083.859375
42, 1, 83, 38543.363281
42, 1, 84, 154042.562500
42, 1, 85, 485024.250000
42, 1, 86, 189920.250000
42, 1, 87, 141407.781250
42, 1, 88, 107210.562500
42, 1, 89, 61540.683594
42, 1, 90, 193907.609375
