"event_id", "prog_id", "layer_id", "output_id", "sidx", "loss"
26, 1, 1, 1, -1, 0.00
26, 1, 1, 1, 1, 32388.76
26, 1, 1, 1, 2, 286.66
26, 1, 1, 1, 3, 0.00
26, 1, 1, 1, 4, 0.00
26, 1, 1, 1, 5, 2415.21
26, 1, 1, 1, 6, 194.41
26, 1, 1, 1, 7, 0.00
26, 1, 1, 1, 8, 0.00
26, 1, 1, 1, 9, 0.00
26, 1, 1, 1, 10, 2478.99
26, 1, 1, 1, 11, 3451.04
26, 1, 1, 1, 12, 1047.14
26, 1, 1, 1, 13, 0.00
26, 1, 1, 1, 14, 4134.57
26, 1, 1, 1, 15, 0.00
26, 1, 1, 1, 16, 0.00
26, 1, 1, 1, 17, 0.00
26, 1, 1, 1, 18, 0.00
26, 1, 1, 1, 19, 0.00
26, 1, 1, 1, 20, 0.00
26, 1, 1, 1, 21, 905.20
26, 1, 1, 1, 22, 0.00
26, 1, 1, 1, 23, 0.00
26, 1, 1, 1, 24, 0.00
26, 1, 1, 1, 25, 1650.91
26, 1, 1, 1, 26, 0.00
26, 1, 1, 1, 27, 381.92
26, 1, 1, 1, 28, 1418.04
26, 1, 1, 1, 29, 0.00
26, 1, 1, 1, 30, 4488.99
26, 1, 1, 1, 31, 2884.74
26, 1, 1, 1, 32, 0.00
26, 1, 1, 1, 33, 0.00
26, 1, 1, 1, 34, 0.00
26, 1, 1, 1, 35, 0.00
26, 1, 1, 1, 36, 0.00
26, 1, 1, 1, 37, 0.00
26, 1, 1, 1, 38, 0.00
26, 1, 1, 1, 39, 0.00
26, 1, 1, 1, 40, 0.00
26, 1, 1, 1, 41, 3384.72
26, 1, 1, 1, 42, 17389.22
26, 1, 1, 1, 43, 0.00
26, 1, 1, 1, 44, 533.30
26, 1, 1, 1, 45, 2870.94
26, 1, 1, 1, 46, 1304.27
26, 1, 1, 1, 47, 0.00
26, 1, 1, 1, 48, 0.00
26, 1, 1, 1, 49, 6828.88
26, 1, 1, 1, 50, 0.00
26, 1, 1, 1, 51, 5689.27
26, 1, 1, 1, 52, 0.00
26, 1, 1, 1, 53, 3287.95
26, 1, 1, 1, 54, 0.00
26, 1, 1, 1, 55, 969.99
26, 1, 1, 1, 56, 0.00
26, 1, 1, 1, 57, 5047.61
26, 1, 1, 1, 58, 0.00
26, 1, 1, 1, 59, 839.84
26, 1, 1, 1, 60, 15362.17
26, 1, 1, 1, 61, 2459.48
26, 1, 1, 1, 62, 0.00
26, 1, 1, 1, 63, 0.00
26, 1, 1, 1, 64, 0.00
26, 1, 1, 1, 65, 0.00
26, 1, 1, 1, 66, 0.00
26, 1, 1, 1, 67, 3138.34
26, 1, 1, 1, 68, 0.00
26, 1, 1, 1, 69, 296.17
