"event_id", "coverage_id", "sidx", "loss"
26, 1, -1, 0.000000
26, 2, -1, 2335.745361
26, 2, 2, 259.433533
26, 2, 7, 11376.962891
26, 2, 8, 13395.235352
26, 2, 25, 21333.085938
26, 2, 27, 14438.348633
26, 2, 44, 8936.860352
26, 2, 54, 18302.564453
26, 2, 57, 14457.523438
26, 2, 60, 19248.410156
26, 2, 62, 5986.127441
26, 2, 64, 14354.947266
26, 2, 68, 11456.346680
26, 2, 81, 7002.017090
26, 2, 84, 11361.458984
26, 2, 89, 5024.544922
26, 2, 91, 18341.693359
26, 3, -1, 0.000000
26, 4, -1, 965.789612
26, 4, 10, 8701.577148
26, 4, 16, 5077.650391
26, 4, 25, 10523.234375
26, 4, 32, 31067.060547
26, 4, 33, 3253.651123
26, 4, 41, 12727.726562
26, 4, 75, 33271.718750
26, 5, -1, 48.869404
26, 5, 10, 477.503601
26, 5, 16, 371.400116
26, 5, 25, 529.357117
26, 5, 32, 1118.179810
26, 5, 33, 314.093781
26, 5, 41, 592.147705
26, 5, 42, 194.053497
26, 5, 75, 1181.343872
26, 5, 77, 18.172161
26, 6, -1, 0.000000
26, 7, -1, 1205.186157
26, 7, 1, 12192.919922
26, 7, 3, 6523.375488
26, 7, 7, 14959.933594
26, 7, 8, 3888.790771
26, 7, 22, 3598.828613
26, 7, 32, 5622.596680
26, 7, 40, 2844.579346
26, 7, 48, 10308.639648
26, 7, 60, 14635.347656
26, 7, 63, 7757.527344
26, 7, 70, 5352.275391
26, 7, 71, 6879.576172
26, 7, 73, 13305.743164
26, 7, 88, 10835.347656
26, 7, 91, 3741.629883
26, 8, -1, 1205.186157
26, 8, 7, 6754.196289
26, 8, 8, 6157.761230
26, 8, 10, 4628.570801
26, 8, 20, 5236.908203
26, 8, 31, 12948.459961
26, 8, 37, 3162.035156
26, 8, 54, 4633.019531
26, 8, 55, 420.034851
26, 8, 64, 2062.249512
26, 8, 65, 11525.992188
26, 8, 67, 7725.367188
26, 8, 78, 10579.817383
26, 8, 86, 8372.937500
26, 8, 94, 231.669128
26, 9, -1, 1205.186157
26, 9, 2, 557.197876
26, 9, 3, 5484.756836
26, 9, 14, 6797.650879
26, 9, 23, 12629.800781
26, 9, 26, 6836.832520
26, 9, 30, 11952.648438
26, 9, 33, 13601.854492
26, 9, 50, 11443.757812
26, 9, 58, 640.727905
26, 9, 59, 10613.714844
26, 9, 62, 597.324158
26, 9, 69, 3132.158447
26, 9, 73, 1505.720947
26, 9, 83, 9099.689453
26, 9, 86, 8362.452148
26, 9, 97, 9970.396484
26, 9, 99, 9594.389648
26, 10, -1, 1205.186157
26, 10, 12, 1917.286865
26, 10, 17, 2457.997803
26, 10, 52, 14849.195312
26, 10, 60, 7270.935059
26, 10, 66, 13943.430664
26, 10, 73, 13399.081055
26, 10, 82, 8235.020508
26, 10, 89, 8000.079590
26, 10, 98, 5338.252441
26, 10, 100, 11937.944336
26, 11, -1, 1205.186157
26, 11, 13, 7204.697754
26, 11, 16, 11838.222656
26, 11, 19, 10076.810547
26, 11, 22, 7688.919922
26, 11, 33, 6934.341309
26, 11, 35, 14749.844727
26, 11, 64, 1372.204346
26, 11, 77, 5399.187012
26, 11, 82, 8307.877930
26, 12, -1, 1205.186157
26, 12, 13, 19872.855469
26, 12, 19, 5296.091309
26, 12, 22, 15751.200195
26, 12, 32, 13563.655273
26, 12, 33, 14524.642578
26, 12, 34, 4271.998535
26, 12, 40, 7515.898926
26, 12, 51, 573.549561
26, 12, 59, 15560.704102
26, 12, 68, 3463.584473
26, 12, 73, 25346.601562
26, 12, 77, 2087.297363
26, 12, 79, 7488.911133
26, 12, 86, 7038.617676
26, 12, 89, 3898.855957
26, 12, 90, 15282.694336
26, 12, 93, 11985.377930
26, 12, 95, 2721.081787
26, 12, 100, 7771.638184
26, 13, -1, 582.030884
26, 13, 1, 4596.659180
26, 13, 3, 3845.636475
26, 13, 7, 4966.607422
26, 13, 8, 3499.462646
26, 13, 22, 3459.045410
26, 13, 32, 3728.929199
26, 13, 40, 3367.661377
26, 13, 48, 4348.798340
26, 13, 60, 4926.003906
26, 13, 63, 4008.752441
26, 13, 66, 2949.400879
26, 13, 70, 3692.391113
26, 13, 71, 3894.258301
26, 13, 73, 4747.996094
26, 13, 88, 4416.776855
26, 13, 91, 3478.884033
26, 14, -1, 582.030884
26, 14, 7, 3876.825439
26, 14, 8, 3796.841309
26, 14, 10, 3595.527832
26, 14, 20, 3676.113525
26, 14, 31, 4702.406250
26, 14, 37, 3404.118652
26, 14, 54, 3596.065430
26, 14, 55, 3046.576416
26, 14, 64, 3257.509521
26, 14, 65, 4511.294922
26, 14, 67, 4004.476807
26, 14, 78, 4383.836426
26, 14, 86, 4090.772217
26, 14, 94, 3026.277344
26, 15, -1, 582.030884
26, 15, 2, 3062.218018
26, 15, 3, 3711.083252
26, 15, 14, 3882.867188
26, 15, 23, 4658.334961
26, 15, 26, 3888.315186
26, 15, 30, 4567.068359
26, 15, 33, 4783.297363
26, 15, 50, 4500.360840
26, 15, 58, 3072.940674
26, 15, 59, 4388.216309
26, 15, 62, 3067.368896
26, 15, 69, 3400.361572
26, 15, 73, 3192.672607
26, 15, 75, 2527.325439
26, 15, 83, 4187.135742
26, 15, 86, 4089.376465
26, 15, 97, 4303.194824
