summary_id,  period_no, event_id, mean, standard_deviation, exposure_value, occ_year, occ_month, occ_day
1, 9149 ,26, 1952.76, 5023.65, 62000.00, 9149, 1, 1
2, 9149 ,26, 1094.19, 5054.72, 66020.00, 9149, 1, 1
3, 9149 ,26, 10226.39, 12562.14, 415543.94, 9149, 1, 1
4, 9149 ,26, 3330.88, 6366.04, 138156.72, 9149, 1, 1
5, 9149 ,26, 7044.39, 12577.56, 219837.00, 9149, 1, 1
6, 9149 ,26, 1495.35, 3247.96, 26947.97, 9149, 1, 1
7, 9149 ,26, 2277.98, 4233.09, 87186.00, 9149, 1, 1
8, 9149 ,26, 1225.61, 2921.24, 36000.00, 9149, 1, 1
12, 9149 ,26, 5257.22, 9514.84, 349701.97, 9149, 1, 1
13, 9149 ,26, 1523.67, 3610.97, 159591.42, 9149, 1, 1
14, 9149 ,26, 4.45, 44.46, 236585.00, 9149, 1, 1
15, 9149 ,26, 1499.92, 6674.64, 476871.03, 9149, 1, 1
16, 9149 ,26, 932.45, 4629.12, 352756.00, 9149, 1, 1
17, 9149 ,26, 299.75, 1373.55, 174428.61, 9149, 1, 1
19, 9149 ,26, 117.76, 475.14, 7500.00, 9149, 1, 1
20, 9149 ,26, 3825.96, 21631.89, 575000.00, 9149, 1, 1
1, 8860 ,42, 7602.41, 10123.17, 62000.00, 8860, 1, 1
2, 8860 ,42, 5888.96, 10505.23, 66020.00, 8860, 1, 1
3, 8860 ,42, 19415.89, 15512.84, 415543.94, 8860, 1, 1
4, 8860 ,42, 6861.91, 9422.25, 138156.72, 8860, 1, 1
5, 8860 ,42, 11120.44, 18672.95, 219837.00, 8860, 1, 1
6, 8860 ,42, 2000.73, 3648.46, 26947.97, 8860, 1, 1
7, 8860 ,42, 4103.98, 5389.88, 87186.00, 8860, 1, 1
8, 8860 ,42, 2424.10, 4411.11, 36000.00, 8860, 1, 1
12, 8860 ,42, 14422.67, 19037.87, 349701.97, 8860, 1, 1
13, 8860 ,42, 6674.69, 7579.72, 159591.42, 8860, 1, 1
