"event_id", "prog_id", "layer_id", "output_id", "sidx", "loss"
1, 1, 1, 1, -1, 0.00
1, 1, 1, 1, 1, 38610.01
1, 1, 1, 2, -1, 0.00
1, 1, 1, 2, 1, 69095.98
1, 1, 1, 3, -1, 0.00
1, 1, 1, 3, 1, 52252.62
1, 1, 1, 4, -1, 0.00
1, 1, 1, 4, 1, 107024.51
1, 1, 1, 5, -1, 0.00
1, 1, 1, 5, 1, 86791.48
1, 1, 1, 6, -1, 0.00
1, 1, 1, 6, 1, 58034.23
1, 1, 1, 7, -1, 0.00
1, 1, 1, 7, 1, 29893.05
1, 1, 1, 8, -1, 0.00
1, 1, 1, 8, 1, 101881.92
1, 1, 1, 9, -1, 0.00
1, 1, 1, 9, 1, 30791.31
1, 1, 1, 10, -1, 0.00
1, 1, 1, 10, 1, 4170.27
1, 1, 1, 11, -1, 0.00
1, 1, 1, 11, 1, 7139.78
1, 1, 1, 12, -1, 0.00
1, 1, 1, 12, 1, 3698.19
1, 1, 1, 13, -1, 0.00
1, 1, 1, 13, 1, 55542.03
1, 1, 1, 14, -1, 0.00
1, 1, 1, 14, 1, 15026.85
1, 1, 1, 15, -1, 0.00
1, 1, 1, 15, 1, 8652.70
1, 1, 1, 16, -1, 0.00
1, 1, 1, 16, 1, 9410.77
1, 1, 1, 17, -1, 0.00
1, 1, 1, 17, 1, 7878.70
1, 1, 1, 18, -1, 0.00
1, 1, 1, 18, 1, 3906.12
1, 1, 1, 19, -1, 0.00
1, 1, 1, 19, 1, 27678.75
1, 1, 1, 20, -1, 0.00
1, 1, 1, 20, 1, 19506.70
1, 1, 1, 21, -1, 0.00
1, 1, 1, 21, 1, 11484.75
1, 1, 1, 22, -1, 0.00
1, 1, 1, 22, 1, 1308.97
1, 1, 1, 23, -1, 0.00
1, 1, 1, 23, 1, 1036.82
1, 1, 1, 24, -1, 0.00
1, 1, 1, 24, 1, 0.00
1, 1, 1, 25, -1, 0.00
1, 1, 1, 25, 1, 0.00
1, 1, 1, 26, -1, 0.00
1, 1, 1, 26, 1, 2011.11
1, 1, 1, 27, -1, 0.00
1, 1, 1, 27, 1, 0.00
1, 1, 1, 28, -1, 0.00
1, 1, 1, 28, 1, 0.00
1, 1, 1, 29, -1, 0.00
1, 1, 1, 29, 1, 306.00
1, 1, 1, 30, -1, 0.00
1, 1, 1, 30, 1, 0.00
1, 1, 1, 31, -1, 0.00
1, 1, 1, 31, 1, 0.00
