policytc_id,calcrule_id,allocrule_id,ccy_id,deductible,limits,share_prop_of_lim,deductible_prop_of_loss,limit_prop_of_loss,deductible_prop_of_tiv,limit_prop_of_tiv,deductible_prop_of_limit
1,14,0,1,0,700000000,0,0,0,0,0,0
2,12,0,1,0,0,0,0,0,0,0,0
3,12,0,1,25000,0,0,0,0,0,0,0
4,12,0,1,78783.03,0,0,0,0,0,0,0
5,12,0,1,89642.04,0,0,0,0,0,0,0
6,12,0,1,85681.983,0,0,0,0,0,0,0
7,12,0,1,140183.82,0,0,0,0,0,0,0
8,12,0,1,462684.45,0,0,0,0,0,0,0
9,11,0,1,10000,0,0,0,0,0,0,0
10,11,0,1,600000,0,0,0,0,0,0,0
11,14,0,1,0,100000000,0,0,0,0,0,0
12,14,0,1,0,15000000,0,0,0,0,0,0
13,2,1,1,0,5700000,0.15,0,0,0,0,0
14,2,1,1,5700000,4300000,0.15,0,0,0,0,0
15,2,1,1,10000000,15000000,0.12,0,0,0,0,0
16,2,1,1,25000000,5000000,0.22,0,0,0,0,0
17,2,1,1,30000000,20000000,0.22,0,0,0,0,0
18,2,1,1,50000000,50000000,0.1,0,0,0,0,0
19,2,1,1,100000000,100000000,0.1,0,0,0,0,0
20,12,0,1,0,0,0,0,0,0,0,0
