event_id,output_id,sidx,loss
26,1,-3,21367.521484
26,1,-1,0.000000
26,1,1,44286.976562
26,9,-3,21367.521484
26,9,-1,0.000000
26,9,1,29140.833984
26,2,-3,2136.752197
26,2,-1,0.000000
26,2,1,4428.697754
26,10,-3,2136.752197
26,10,-1,0.000000
26,10,1,2914.083252
26,3,-3,1068.376099
26,3,-1,0.000000
26,3,1,1107.174438
26,11,-3,1068.376099
26,11,-1,0.000000
26,11,1,728.520813
26,4,-3,427.350433
26,4,-1,0.000000
26,4,1,177.147919
26,12,-3,427.350433
26,12,-1,0.000000
26,12,1,116.563332
26,5,-3,21367.521484
26,5,-1,0.000000
26,13,-3,21367.521484
26,13,-1,0.000000
26,6,-3,2136.752197
26,6,-1,0.000000
26,14,-3,2136.752197
26,14,-1,0.000000
26,7,-3,1068.376099
26,7,-1,0.000000
26,15,-3,1068.376099
26,15,-1,0.000000
26,8,-3,427.350433
26,8,-1,0.000000
26,16,-3,427.350433
26,16,-1,0.000000
