event_id,output_id,sidx,loss
47776,1171,-3,74250000.00
47776,1171,-1,10627698.00
47776,1171,3,2770162.25
47776,1171,4,4231010.50
47776,1171,5,7957947.00
47776,1171,6,21417674.00
47776,1171,7,14685228.00
47776,1171,8,31157254.00
47776,1193,-3,74250000.00
47776,1193,-1,10627698.00
47776,1193,1,4251598.50
47776,1193,2,9452241.00
47776,1193,4,31906544.00
47776,1193,5,14685228.00
47776,1193,6,3485465.50
47776,1193,8,31157254.00
47776,1232,-3,74250000.00
47776,1232,-1,10627698.00
47776,1232,1,19175420.00
47776,1232,2,2741792.75
47776,1232,3,10947944.00
47776,1232,4,10947945.00
47776,1232,5,20672106.00
47776,1232,6,6480788.50
47776,1232,8,3485465.25
47776,1242,-3,74250000.00
47776,1242,-1,10627698.00
47776,1242,1,1313621.12
47776,1242,2,5717103.50
47776,1242,3,43894044.00
47776,1276,-3,74250000.00
47776,1276,-1,10627698.00
47776,1276,1,35649820.00
47776,1276,2,10202457.00
47776,1276,3,4977703.50
47776,1276,4,8713859.00
47776,1276,5,556817.25
47776,1276,6,12440339.00
47776,1276,7,49140788.00
47776,1276,8,9452241.00
47776,1323,-3,74250000.00
47776,1323,-1,10627698.00
47776,1323,1,10197429.00
47776,1323,2,55136792.00
47776,1323,3,556817.31
47776,1323,4,38646372.00
47776,1323,6,4968640.00
47776,1323,7,589284.81
47776,1323,8,10202457.00
47776,1364,-3,12870000.00
47776,1364,-1,1771556.75
47776,1364,3,480161.38
47776,1364,4,620548.31
47776,1364,5,1259431.75
47776,1364,6,3460709.25
47776,1364,7,2421272.25
47776,1364,8,5273517.50
47776,1386,-3,12870000.00
47776,1386,-1,1771556.75
47776,1386,1,736943.69
47776,1386,2,1517026.75
47776,1386,4,5403330.50
47776,1386,5,2421272.00
47776,1386,6,494302.50
47776,1386,8,5273517.50
47776,1425,-3,12870000.00
47776,1425,-1,1771556.75
47776,1425,1,3198316.00
47776,1425,2,369634.44
47776,1425,3,1775215.25
47776,1425,4,1775215.50
47776,1425,5,3457440.00
47776,1425,6,1123336.75
47776,1425,8,494302.50
47776,1435,-3,12870000.00
47776,1435,-1,1771556.75
47776,1435,1,227694.34
47776,1435,2,874380.62
47776,1435,3,7480429.50
47776,1468,-3,12870000.00
47776,1468,-1,1771556.75
47776,1468,1,5924485.50
47776,1468,2,1646465.38
47776,1468,3,747761.69
47776,1468,4,1510402.25
47776,1468,5,96514.99
47776,1468,6,2033106.38
47776,1468,7,8389649.00
47776,1468,8,1517026.38
47776,1516,-3,12870000.00
47776,1516,-1,1771556.75
47776,1516,1,1645653.88
47776,1516,2,9428761.00
47776,1516,3,96515.00
47776,1516,4,6443516.00
47776,1516,6,746400.19
47776,1516,7,102142.72
47776,1516,8,1646465.62
47776,1557,-3,11880000.00
47776,1557,-1,2647444.75
47776,1557,3,1329677.25
47776,1557,4,1718441.38
47776,1557,5,2712621.75
47776,1557,6,5401611.00
47776,1557,7,4183499.75
47776,1557,8,6979225.00
47776,1579,-3,11880000.00
47776,1579,-1,2647444.75
47776,1579,1,1831458.00
47776,1579,2,3080730.75
47776,1579,4,7100123.00
47776,1579,5,4183499.25
47776,1579,6,1470232.38
47776,1579,8,6979225.00
47776,1618,-3,11880000.00
47776,1618,-1,2647444.75
47776,1618,1,5036261.50
47776,1618,2,1218574.12
47776,1618,3,3446837.50
47776,1618,4,3446837.75
47776,1618,5,5280454.00
47776,1618,6,2455877.50
47776,1618,8,1470232.38
47776,1628,-3,11880000.00
47776,1628,-1,2647444.75
47776,1628,1,798682.81
47776,1628,2,2098513.75
47776,1628,3,8675529.00
47776,1661,-3,11880000.00
47776,1661,-1,2647444.75
47776,1661,1,7585693.50
47776,1661,2,3321075.25
47776,1661,3,1964534.12
47776,1661,4,2955740.25
47776,1661,5,326666.50
47776,1661,6,3696556.50
47776,1661,7,9399560.00
47776,1661,8,3080730.25
47776,1709,-3,11880000.00
47776,1709,-1,2647444.75
47776,1709,1,3206915.25
47776,1709,2,10124448.00
47776,1709,3,326666.50
47776,1709,4,7950110.50
47776,1709,6,1854959.38
47776,1709,7,408571.25
47776,1709,8,3321075.75
