summary_id,type,return_period,loss,ensemble_id
1,1,5.000000,5044.610352,0
1,1,3.000000,0.000000,0
2,1,5.000000,3826.563477,0
2,1,3.000000,0.000000,0
3,1,5.000000,18492.001953,0
3,1,3.000000,0.000000,0
4,1,5.000000,6142.337402,0
4,1,3.000000,0.000000,0
5,1,5.000000,9571.767578,0
5,1,3.000000,0.000000,0
6,1,5.000000,1711.249268,0
6,1,3.000000,0.000000,0
7,1,5.000000,3817.210938,0
7,1,3.000000,0.000000,0
8,1,5.000000,2286.071533,0
8,1,3.000000,0.000000,0
12,1,5.000000,12118.149414,0
12,1,3.000000,0.000000,0
13,1,5.000000,5821.133301,0
13,1,3.000000,0.000000,0
14,1,5.000000,2507.576660,0
14,1,3.000000,0.000000,0
15,1,5.000000,6417.751465,0
15,1,3.000000,0.000000,0
16,1,5.000000,7885.312012,0
16,1,3.000000,0.000000,0
17,1,5.000000,3884.365234,0
17,1,3.000000,0.000000,0
18,1,5.000000,20397.705078,0
18,1,3.000000,0.000000,0
19,1,5.000000,248.082458,0
19,1,3.000000,0.000000,0
20,1,5.000000,10948.403320,0
20,1,3.000000,0.000000,0
1,2,500.000000,37384.074219,0
1,2,250.000000,24913.939453,0
1,2,200.000000,24264.980469,0
1,2,100.000000,22394.574219,0
1,2,75.000000,21538.277344,0
1,2,50.000000,19248.386719,0
1,2,30.000000,14857.612305,0
1,2,10.000000,0.000000,0
1,2,7.000000,0.000000,0
1,2,5.000000,0.000000,0
1,2,3.000000,0.000000,0
2,2,500.000000,34452.796875,0
2,2,250.000000,32185.212891,0
2,2,200.000000,32179.750000,0
2,2,100.000000,26931.367188,0
2,2,75.000000,25126.095703,0
2,2,50.000000,17406.720703,0
2,2,30.000000,11652.164062,0
2,2,10.000000,0.000000,0
2,2,7.000000,0.000000,0
2,2,5.000000,0.000000,0
2,2,3.000000,0.000000,0
3,2,500.000000,72620.828125,0
3,2,250.000000,60806.542969,0
3,2,200.000000,54059.460938,0
3,2,100.000000,45562.527344,0
3,2,75.000000,42697.539062,0
3,2,50.000000,39576.093750,0
3,2,30.000000,35909.496094,0
3,2,10.000000,20297.425781,0
3,2,7.000000,13601.389648,0
3,2,5.000000,0.000000,0
3,2,3.000000,0.000000,0
4,2,500.000000,45587.648438,0
4,2,250.000000,45184.117188,0
4,2,200.000000,44099.128906,0
4,2,100.000000,29065.292969,0
4,2,75.000000,28216.189453,0
4,2,50.000000,24960.716797,0
4,2,30.000000,22771.789062,0
4,2,10.000000,8267.462891,0
