summary_id,type,mean,standard_deviation
1,1,1476.070676,3111.830187
2,1,968.243984,2041.237528
3,1,5843.065126,12318.262762
4,1,1940.873906,4091.721424
5,1,3025.597213,6378.518924
6,1,519.785201,1095.803408
7,1,1151.456560,2427.483549
8,1,694.385069,1463.892247
12,1,3120.001365,6577.540349
13,1,1499.378562,3160.967525
14,1,577.037051,1216.500905
15,1,1494.982493,3151.699797
16,1,1826.691824,3851.004462
17,1,899.785975,1896.915375
18,1,4079.541076,8600.427660
19,1,80.850312,170.447423
20,1,3470.154739,7315.728471
1,2,1309.084951,5015.202841
2,2,891.877097,4283.047937
3,2,5546.667624,14007.489422
4,2,2144.622222,7070.553440
5,2,2816.618589,9726.078552
6,2,673.225247,2512.505474
7,2,1290.878464,3956.577929
8,2,800.505303,2818.373840
12,2,3579.355092,11266.275505
13,2,1658.580421,5100.737573
14,2,583.404235,4530.287089
15,2,1264.591185,8382.620960
16,2,1741.627991,8185.544869
17,2,769.496594,3499.246964
18,2,3783.594385,13874.508706
19,2,43.344337,344.063364
20,2,3006.472904,20579.675778
