summary_id,type,return_period,loss,ensemble_id
1,1,5.000000,7380.353516,0
1,1,3.000000,0.000000,0
2,1,5.000000,4841.219727,0
2,1,3.000000,0.000000,0
3,1,5.000000,29215.324219,0
3,1,3.000000,0.000000,0
4,1,5.000000,9704.369141,0
4,1,3.000000,0.000000,0
5,1,5.000000,15127.986328,0
5,1,3.000000,0.000000,0
6,1,5.000000,2598.926025,0
6,1,3.000000,0.000000,0
7,1,5.000000,5757.282715,0
7,1,3.000000,0.000000,0
8,1,5.000000,3471.925293,0
8,1,3.000000,0.000000,0
12,1,5.000000,15600.006836,0
12,1,3.000000,0.000000,0
13,1,5.000000,7496.892578,0
13,1,3.000000,0.000000,0
14,1,5.000000,2885.185303,0
14,1,3.000000,0.000000,0
15,1,5.000000,7474.912109,0
15,1,3.000000,0.000000,0
16,1,5.000000,9133.458984,0
16,1,3.000000,0.000000,0
17,1,5.000000,4498.929688,0
17,1,3.000000,0.000000,0
18,1,5.000000,20397.705078,0
18,1,3.000000,0.000000,0
19,1,5.000000,404.251556,0
19,1,3.000000,0.000000,0
20,1,5.000000,17350.773438,0
20,1,3.000000,0.000000,0
1,2,500.000000,37384.074219,0
1,2,250.000000,36260.914062,0
1,2,200.000000,34068.976562,0
1,2,100.000000,26006.691406,0
1,2,75.000000,24784.007812,0
1,2,50.000000,22394.574219,0
1,2,30.000000,17563.064453,0
1,2,10.000000,0.000000,0
1,2,7.000000,0.000000,0
1,2,5.000000,0.000000,0
1,2,3.000000,0.000000,0
2,2,500.000000,34452.796875,0
2,2,250.000000,32185.212891,0
2,2,200.000000,32179.750000,0
2,2,100.000000,26931.367188,0
2,2,75.000000,25126.095703,0
2,2,50.000000,20328.843750,0
2,2,30.000000,12748.958008,0
2,2,10.000000,0.000000,0
2,2,7.000000,0.000000,0
2,2,5.000000,0.000000,0
2,2,3.000000,0.000000,0
3,2,500.000000,90385.789062,0
3,2,250.000000,76111.890625,0
3,2,200.000000,72671.390625,0
3,2,100.000000,64007.808594,0
3,2,75.000000,58366.589844,0
3,2,50.000000,51522.750000,0
3,2,30.000000,45601.601562,0
3,2,10.000000,26236.611328,0
3,2,7.000000,16125.757812,0
3,2,5.000000,0.000000,0
3,2,3.000000,0.000000,0
4,2,500.000000,59430.695312,0
4,2,250.000000,45587.648438,0
4,2,200.000000,44260.542969,0
4,2,100.000000,39700.742188,0
4,2,75.000000,33180.800781,0
4,2,50.000000,27462.578125,0
4,2,30.000000,23340.722656,0
4,2,10.000000,8267.462891,0
4,2,7.000000,0.000000,0
4,2,5.000000,0.000000,0
4,2,3.000000,0.000000,0
5,2,500.000000,95196.937500,0
5,2,250.000000,68511.734375,0
5,2,200.000000,59661.156250,0
5,2,100.000000,51087.710938,0
5,2,75.000000,45953.398438,0
5,2,50.000000,36290.972656,0
5,2,30.000000,30046.478516,0
5,2,10.000000,9770.955078,0
5,2,7.000000,0.000000,0
5,2,5.000000,0.000000,0
5,2,3.000000,0.000000,0
6,2,500.000000,21031.093750,0
