summary_id,type,mean,standard_deviation,ensemble_id
1,1,1476.070676,3111.830187,0
2,1,968.243984,2041.237528,0
3,1,5843.065126,12318.262762,0
4,1,1940.873906,4091.721424,0
5,1,3025.597213,6378.518924,0
6,1,519.785201,1095.803408,0
7,1,1151.456560,2427.483549,0
8,1,694.385069,1463.892247,0
12,1,3120.001365,6577.540349,0
13,1,1499.378562,3160.967525,0
14,1,577.037051,1216.500905,0
15,1,1494.982493,3151.699797,0
16,1,1826.691824,3851.004462,0
17,1,899.785975,1896.915375,0
18,1,4079.541076,8600.427660,0
19,1,80.850312,170.447423,0
20,1,3470.154739,7315.728471,0
1,2,1309.084951,5015.202841,0
2,2,891.877097,4283.047937,0
3,2,5546.667624,14007.489422,0
4,2,2144.622222,7070.553440,0
5,2,2816.618589,9726.078552,0
6,2,673.225247,2512.505474,0
7,2,1290.878464,3956.577929,0
8,2,800.505303,2818.373840,0
12,2,3579.355092,11266.275505,0
13,2,1658.580421,5100.737573,0
14,2,583.404235,4530.287089,0
15,2,1264.591185,8382.620960,0
16,2,1741.627991,8185.544869,0
17,2,769.496594,3499.246964,0
18,2,3783.594385,13874.508706,0
19,2,43.344337,344.063364,0
20,2,3006.472904,20579.675778,0
1,2,1761.496331,5530.488540,1
1,2,467.398041,2520.085117,2
1,2,1619.942366,5599.154836,3
1,2,1291.087485,4552.506769,4
1,2,1371.318136,5672.597399,5
1,2,1928.781085,5846.555617,6
1,2,1549.536991,5137.374720,7
1,2,0.000000,0.000000,8
1,2,1472.170813,5410.300510,9
1,2,1629.118266,6280.112433,10
2,2,1568.417738,6351.970661,1
2,2,1068.392897,4355.524539,2
2,2,327.302549,1629.669190,3
2,2,971.757561,4852.413530,4
2,2,663.500760,2839.281107,5
2,2,741.162716,3676.204489,6
2,2,711.196173,4135.935111,7
2,2,1156.469015,5309.336296,8
2,2,784.660109,3887.175781,9
2,2,925.911449,4073.985563,10
3,2,4711.297375,12254.351333,1
3,2,7593.078717,17699.427582,2
3,2,4712.537951,14296.493666,3
3,2,6282.698277,15240.536067,4
3,2,4104.922664,10113.809053,5
3,2,5392.681648,12517.460801,6
3,2,7006.545383,15752.233616,7
3,2,5831.364423,16531.797071,8
3,2,5326.638693,13296.519836,9
3,2,4504.911107,10532.682271,10
4,2,1637.965269,4962.896909,1
4,2,1298.705156,3563.358801,2
4,2,3601.729077,10417.618577,3
4,2,1711.980416,6017.800519,4
4,2,2616.244844,7665.518608,5
4,2,1353.200733,6739.819670,6
4,2,2639.323965,7513.462636,7
4,2,2602.645595,8120.328599,8
4,2,1774.576023,6855.824547,9
4,2,2209.851146,6636.949905,10
5,2,3054.837760,7934.229831,1
5,2,3035.532936,12247.990840,2
5,2,905.328607,4474.542527,3
5,2,3085.373220,9257.216379,4
5,2,4909.993081,13728.789478,5
5,2,2922.325747,7986.543211,6
5,2,4196.916742,15236.060034,7
5,2,1673.091363,5464.611666,8
5,2,2006.849991,7217.834869,9
5,2,2375.936442,7557.212228,10
6,2,692.047588,2437.519050,1
6,2,557.188036,2238.892919,2
6,2,497.447284,2029.521197,3
6,2,659.598359,2284.223679,4
6,2,1022.095723,3611.852775,5
6,2,907.809940,3027.273123,6
6,2,575.564691,2127.333330,7
6,2,563.573426,2270.913456,8
6,2,429.461369,1571.419694,9
6,2,827.466047,2952.695872,10
7,2,574.830799,2333.851552,1
7,2,1299.132837,3565.897625,2
7,2,976.315618,3030.240135,3
7,2,1316.143525,4727.847412,4
7,2,1301.742944,3372.714291,5
7,2,1219.029178,3135.410007,6
7,2,1901.080155,5914.565550,7
7,2,1650.991426,4293.327604,8
7,2,1511.029022,4223.762815,9
7,2,1158.489138,3822.599285,10
8,2,608.889755,2589.921493,1
8,2,248.183119,1461.326599,2
8,2,1050.009015,2930.993086,3
8,2,935.069286,3320.565000,4
8,2,1110.386948,3450.203734,5
8,2,697.675386,2880.238553,6
8,2,381.833272,1881.646572,7
8,2,688.096055,2428.578523,8
8,2,1411.132316,3814.089440,9
8,2,873.777874,2530.392018,10
12,2,5417.063635,13520.766061,1
12,2,2452.896990,9084.131067,2
12,2,3135.075633,9185.601531,3
12,2,4578.007129,12787.054285,4
12,2,5328.669474,15154.455407,5
12,2,3656.844722,10116.519072,6
12,2,4200.925942,11614.615168,7
12,2,1566.452758,6449.613238,8
12,2,1916.340527,8519.331862,9
12,2,3541.274115,13048.369352,10
13,2,1343.518597,3708.716042,1
13,2,2509.284715,6346.550914,2
13,2,2399.804704,6406.385972,3
13,2,1271.978256,3842.457355,4
13,2,2995.952261,8422.193027,5
13,2,1334.409707,4838.060383,6
13,2,1687.158028,4450.197347,7
13,2,516.529588,1811.582021,8
13,2,1372.324195,4199.879129,9
13,2,1154.844163,3539.539601,10
14,2,533.365591,3689.062205,1
14,2,1318.751231,6503.400779,2
14,2,737.632980,5189.443230,3
14,2,432.078639,3039.787578,4
14,2,52.556207,369.746824,5
14,2,0.000000,0.000000,6
14,2,466.145241,3279.455140,7
14,2,0.000000,0.000000,8
14,2,1988.411514,9815.024829,9
14,2,305.100949,2036.238148,10
15,2,2240.302572,10294.712172,1
15,2,3677.175563,18769.811429,2
15,2,0.000000,0.000000,3
15,2,168.428655,1184.940162,4
15,2,1161.511502,6094.687883,5
15,2,1390.700607,5922.902928,6
15,2,0.000000,0.000000,7
15,2,855.072903,6015.664173,8
15,2,2242.098393,9346.125217,9
15,2,910.621654,6406.464336,10
16,2,1631.421196,7761.544363,1
16,2,773.954152,5444.972290,2
16,2,1433.247678,7064.175469,3
16,2,1544.550394,7054.614649,4
16,2,1109.478063,5552.238764,5
16,2,3168.935262,11829.038838,6
16,2,3022.226568,12013.777504,7
16,2,1526.804867,8538.101049,8
16,2,352.432037,2479.452649,9
16,2,2853.229691,9163.869828,10
17,2,914.178744,3883.904201,1
17,2,340.981460,1770.073134,2
17,2,65.530528,461.024610,3
17,2,726.125245,3596.688634,4
17,2,1399.632794,4600.496766,5
17,2,35.745634,176.792379,6
17,2,1848.491766,5446.116490,7
17,2,775.651847,3821.922436,8
17,2,934.283046,3927.282506,9
17,2,654.344873,2904.540552,10
18,2,5038.522888,19765.238585,1
18,2,1755.628346,7033.953950,2
18,2,4690.871164,14181.544921,3
18,2,3670.603570,11369.436081,4
18,2,2272.016538,8164.434388,5
18,2,3141.367781,11001.066335,6
18,2,4495.179935,14882.885281,7
18,2,2155.606126,10632.488922,8
18,2,6033.657746,20153.791794,9
18,2,4582.489756,15011.019687,10
19,2,33.631080,236.603546,1
19,2,0.000000,0.000000,2
19,2,94.716242,666.353827,3
19,2,38.216771,268.865095,4
19,2,40.722488,286.493483,5
19,2,29.458501,207.248354,6
19,2,0.000000,0.000000,7
