layer_id,level_id,to_agg_id,policytc_id
1,1,1,2
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,3
1,1,6,1
1,1,7,1
1,1,8,1
1,1,9,4
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,5
1,1,14,1
1,1,15,1
1,1,16,1
1,1,17,6
1,1,18,1
1,1,19,1
1,1,20,1
1,1,21,7
1,1,22,1
1,1,23,1
1,1,24,1
1,1,25,8
1,1,26,1
1,1,27,1
1,1,28,1
1,1,29,9
1,1,30,1
1,1,31,1
1,1,32,1
1,1,33,10
1,1,34,1
1,1,35,1
1,1,36,1
1,1,37,11
1,1,38,1
1,1,39,1
1,1,40,1
1,1,41,12
1,1,42,1
1,1,43,1
1,1,44,1
1,1,45,13
1,1,46,1
1,1,47,1
1,1,48,1
1,1,49,14
1,1,50,1
1,1,51,1
1,1,52,1
1,1,53,15
1,1,54,1
1,1,55,1
1,1,56,1
1,1,57,16
1,1,58,1
1,1,59,1
1,1,60,1
1,1,61,17
1,1,62,1
1,1,63,1
1,1,64,1
1,1,65,1
1,1,66,1
1,1,67,2
1,1,68,1
1,1,69,1
1,1,70,1
1,1,71,3
1,1,72,1
1,1,73,1
1,1,74,1
1,1,75,4
1,1,76,1
1,1,77,1
1,1,78,1
1,1,79,5
1,1,80,1
1,1,81,1
1,1,82,1
1,1,83,6
1,1,84,1
1,1,85,1
1,1,86,1
1,1,87,7
1,1,88,1
1,1,89,1
1,1,90,1
1,1,91,8
1,1,92,1
1,1,93,1
1,1,94,1
1,1,95,9
1,1,96,1
1,1,97,1
1,1,98,1
1,1,99,10
1,1,100,1
1,1,101,1
1,1,102,1
1,1,103,11
1,1,104,1
1,1,105,1
1,1,106,1
1,1,107,12
1,1,108,1
1,1,109,1
1,1,110,1
1,1,111,13
1,1,112,1
1,1,113,1
1,1,114,1
1,1,115,14
1,1,116,1
1,1,117,1
1,1,118,1
1,1,119,15
1,1,120,1
1,1,121,1
1,1,122,1
1,1,123,16
1,1,124,1
1,1,125,1
1,1,126,1
1,1,127,17
1,1,128,1
1,1,129,2
1,1,130,1
1,1,131,1
1,1,132,3
1,1,133,1
1,1,134,1
1,1,135,4
1,1,136,1
1,1,137,1
1,1,138,5
1,1,139,1
1,1,140,1
1,1,141,6
1,1,142,1
1,1,143,1
1,1,144,7
1,1,145,1
1,1,146,1
1,1,147,8
1,1,148,1
1,1,149,1
1,1,150,9
1,1,151,1
1,1,152,1
1,1,153,10
1,1,154,1
1,1,155,1
1,1,156,11
1,1,157,1
1,1,158,1
1,1,159,12
1,1,160,1
1,1,161,1
1,1,162,13
1,1,163,1
1,1,164,1
1,1,165,14
1,1,166,1
1,1,167,1
1,1,168,15
1,1,169,1
1,1,170,1
1,1,171,16
1,1,172,1
1,1,173,1
1,1,174,17
1,1,175,1
1,1,176,1
1,1,177,2
1,1,178,1
1,1,179,2
1,1,180,1
1,1,181,3
1,1,182,1
1,1,183,3
1,1,184,1
1,1,185,4
1,1,186,1
1,1,187,4
1,1,188,1
1,1,189,5
1,1,190,1
1,1,191,5
1,1,192,1
1,1,193,6
1,1,194,1
1,1,195,6
1,1,196,1
1,1,197,7
1,1,198,1
1,1,199,7
1,1,200,1
1,1,201,8
1,1,202,1
1,1,203,8
1,1,204,1
1,1,205,9
1,1,206,1
1,1,207,9
1,1,208,1
1,1,209,10
1,1,210,1
1,1,211,10
1,1,212,1
1,1,213,11
1,1,214,1
1,1,215,11
1,1,216,1
1,1,217,12
1,1,218,1
1,1,219,12
1,1,220,1
1,1,221,13
1,1,222,1
1,1,223,13
1,1,224,1
1,1,225,14
1,1,226,1
1,1,227,14
1,1,228,1
1,1,229,15
1,1,230,1
1,1,231,15
1,1,232,1
1,1,233,16
1,1,234,1
1,1,235,16
1,1,236,1
1,1,237,17
1,1,238,1
1,1,239,17
1,1,240,1
