layer_id,level_id,to_agg_id,policytc_id
1,1,1,2
1,1,2,1
1,1,3,1
1,1,4,1
1,1,5,3
1,1,6,1
1,1,7,1
1,1,8,1
1,1,9,4
1,1,10,1
1,1,11,1
1,1,12,1
1,1,13,5
1,1,14,1
1,1,15,1
1,1,16,1
1,1,17,6
1,1,18,1
1,1,19,1
1,1,20,1
1,1,21,7
1,1,22,1
1,1,23,1
1,1,24,1
1,1,25,8
1,1,26,1
1,1,27,1
1,1,28,1
1,1,29,9
1,1,30,1
1,1,31,1
1,1,32,1
1,1,33,10
1,1,34,1
1,1,35,1
1,1,36,1
1,1,37,11
1,1,38,1
1,1,39,1
1,1,40,1
1,1,41,12
1,1,42,1
1,1,43,1
1,1,44,1
1,1,45,13
1,1,46,1
1,1,47,1
1,1,48,1
1,1,49,14
1,1,50,1
1,1,51,1
1,1,52,1
1,1,53,15
1,1,54,1
1,1,55,1
1,1,56,1
1,1,57,16
1,1,58,1
1,1,59,1
1,1,60,1
1,1,61,17
1,1,62,1
1,1,63,1
1,1,64,1
1,1,65,18
1,1,66,1
1,1,67,1
1,1,68,1
1,1,69,19
1,1,70,1
1,1,71,1
1,1,72,1
